"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","BusStopCode","planning_area","Description","RoadName","subzone_name","district","combined.f"
103.8525359,1.296848255,0.042,0.963,0.355,0.25,"1012","Downtown Core","Hotel Grand Pacific","Victoria St","Victoria","Central Region",7.1065837966117
103.8532247,1.297709706,0.049,0.963,0.402,0.25,"1013","Others","St. Joseph's Ch","Victoria St","Victoria","Central Region",7.20932232549757
103.853022,1.296989512,0.028,0.983,0.307,0.25,"1019","Downtown Core","Bras Basah Cplx","Victoria St","Bugis","Central Region",7.01694019572887
103.8544142,1.296672985,0.039,0.969,0.239,0.375,"1029","Downtown Core","Opp Natl Lib","Nth Bridge Rd","Bugis","Central Region",7.12546679117673
103.8554914,1.298207841,0.039,0.961,0.265,0.125,"1039","Downtown Core","Bugis Cube","Nth Bridge Rd","Bugis","Central Region",6.67322334227043
103.8561104,1.300756795,0.023,0.968,0.292,0.125,"1059","Downtown Core","Bugis Stn Exit B","Victoria St","Bugis","Central Region",6.70142006188711
103.8565037,1.303585776,0.005,0.942,0.319,0.125,"1109","Others","Queen St Ter","Queen St","Rochor Canal","Central Region",6.67124375807185
103.8552003,1.300092128,0.095,0.971,0.42,0.375,"1112","Others","Opp Bugis Junction","Victoria St","Victoria","Central Region",7.5923427643144
103.856114,1.301172975,0.031,0.937,0.384,0.125,"1113","Downtown Core","Bugis Stn Exit A","Victoria St","Bugis","Central Region",6.84310752205659
103.8551293,1.299604109,0.028,0.976,0.339,0.125,"1119","Downtown Core","Bugis Junction","Victoria St","Bugis","Central Region",6.81479605259902
103.85868,1.303938097,0.079,0.944,0.406,0.25,"1121","Others","Stamford Pr Sch","Victoria St","Rochor Canal","Central Region",7.25080892140465
103.8586453,1.303502692,0.021,0.96,0.211,0.125,"1129","Others","Opp Stamford Pr Sch","Victoria St","Kampong Glam","Central Region",6.52578239065278
103.8571608,1.300330579,0.039,0.954,0.292,0.125,"1139","Downtown Core","Parkview Sq","Nth Bridge Rd","Bugis","Central Region",6.71418962116882
103.860545,1.305518035,0.056,0.95,0.378,0.125,"1211","Kallang","Opp Blk 461","Victoria St","Crawford","Central Region",6.90741212540589
103.8607202,1.305265985,0.023,0.96,0.234,0.25,"1219","Kallang","Blk 461","Victoria St","Crawford","Central Region",6.82749948449777
103.8596309,1.303375526,0.006,0.946,0.211,0.125,"1229","Others","Bef Sultan Mque","Nth Bridge Rd","Kampong Glam","Central Region",6.46989027116034
103.8610831,1.30325,0.002,0.943,0.321,0.125,"1231","Others","Opp Textile Ctr","Jln Sultan","Kampong Glam","Central Region",6.66992317006173
103.8616182,1.302912366,0.005,0.96,0.235,0.125,"1239","Kallang","Sultan Plaza","Jln Sultan","Crawford","Central Region",6.53763465215387
103.862197,1.307091646,0.056,0.957,0.342,0.25,"1311","Kallang","Lavender Stn Exit B","Kallang Rd","Lavender","Central Region",7.10294526662983
103.863256,1.307574267,0.023,0.953,0.258,0.125,"1319","Kallang","Lavender Stn Exit A/ICA","Kallang Rd","Lavender","Central Region",6.61155423480437
103.8636303,1.304956702,0.009,0.961,0.234,0.25,"1329","Kallang","Blk 8","Nth Bridge Rd","Crawford","Central Region",6.79796888294687
103.8642627,1.307746017,0.012,0.954,0.258,0.25,"1339","Kallang","Bef Crawford Bridge","Crawford St","Kampong Bugis","Central Region",6.84047099828661
103.8645253,1.306475556,0.004,0.957,0.263,0.25,"1341","Kallang","Southbank","Crawford St","Crawford","Central Region",6.83712862827838
103.8654399,1.305686357,0.002,0.946,0.234,0.125,"1349","Kallang","Opp Blk 4","Crawford St","Kampong Bugis","Central Region",6.50645816044178
103.862956,1.302113329,0.004,0.943,0.321,0.125,"1411","Kallang","Opp St. John HQ","Beach Rd","Crawford","Central Region",6.6744131037005
103.8632633,1.30202,0.002,0.96,0.191,0.125,"1419","Kallang","St. John HQ","Beach Rd","Crawford","Central Region",6.44339839989139
103.8648389,1.303384444,0.004,0.95,0.291,0.125,"1421","Kallang","Opp Golden Mile Cplx","Beach Rd","Crawford","Central Region",6.628305315283
103.8650158,1.303213609,0.002,0.953,0.211,0.125,"1429","Kallang","Golden Mile Cplx","Beach Rd","Crawford","Central Region",6.47216201245369
103.8586452,1.299198261,0.007,0.929,0.392,0.125,"1511","Downtown Core","Opp The Gateway","Beach Rd","Bugis","Central Region",6.79179532132754
103.8589103,1.299074925,0.016,0.975,0.353,0.25,"1519","Downtown Core","The Gateway","Beach Rd","City Hall","Central Region",7.06473661415723
103.860661,1.300883044,0.007,0.936,0.355,0.25,"1521","Others","Opp Plaza Parkroyal","Beach Rd","Kampong Glam","Central Region",6.98583452288159
103.8604412,1.300416677,0.008,0.968,0.22,0.125,"1529","Others","Plaza Parkroyal","Beach Rd","Crawford","Central Region",6.52753355307396
103.8573458,1.298864654,0.019,0.979,0.363,0.25,"1541","Downtown Core","Bugis Stn Exit D","Rochor Rd","Bugis","Central Region",7.09654167706863
103.8587312,1.300698689,0,0,0.352,0,"1549","Others","Opp Duo Residences","Ophir Rd","Kampong Glam","Central Region",4.71698828800409
103.8575292,1.301687311,0.008,0.968,0.389,0.25,"1559","Others","Landmark Village Hotel","Ophir Rd","Kampong Glam","Central Region",7.10288308523333
103.8553369,1.295272592,0.071,0.966,0.442,0.25,"1611","Downtown Core","Aft Raffles Hotel","Beach Rd","City Hall","Central Region",7.33498040801298
103.8550381,1.294286942,0.014,0.982,0.3,0.375,"1619","Downtown Core","Esplanade Stn Exit F","Beach Rd","City Hall","Central Region",7.20942760631997
103.8565561,1.296958889,0.024,0.972,0.401,0.25,"1621","Downtown Core","Opp Shaw Twrs","Beach Rd","Bugis","Central Region",7.16707248091666
103.8568653,1.296959722,0.011,0.975,0.319,0.125,"1629","Downtown Core","Shaw Twrs","Beach Rd","City Hall","Central Region",6.73758380790561
103.8558056,1.296936146,0.054,0.964,0.412,0.25,"1631","Downtown Core","Aft Beach Rd","Middle Rd","Bugis","Central Region",7.24020841837796
103.8555758,1.2973875,0.004,0.981,0.262,0.25,"1639","Downtown Core","Bef Beach Rd","Middle Rd","Bugis","Central Region",6.87359188763016
103.8529332,1.288790151,0.009,0.97,0.384,0.125,"2029","Downtown Core","Opp S'pore Cricket Club","Connaught Dr","City Hall","Central Region",6.84729204581176
103.8540216,1.294520912,0.554,0.991,0.354,0.75,"2049","Downtown Core","Raffles Hotel","Bras Basah Rd","City Hall","Central Region",9.03942238941832
103.8590339,1.289503056,0.045,0.989,0.435,0.125,"2051","Downtown Core","The Float @ Marina Bay","Raffles Ave","Marina Centre","Central Region",7.05101057054795
103.8564039,1.289963889,0.045,0.997,0.393,1,"2061","Downtown Core","The Esplanade","Raffles Ave","Marina Centre","Central Region",8.54517580636971
103.8592061,1.291526944,0.071,0.978,0.448,0.5,"2089","Downtown Core","Pan Pacific Hotel","Raffles Blvd","Marina Centre","Central Region",7.83174865075411
103.8614856,1.291472648,0,0.974,0.405,0.125,"2099","Downtown Core","Marina Ctr Ter","Raffles Blvd","Marina Centre","Central Region",6.87237777978434
103.8618315,1.289384838,0.014,0.981,0.431,0.125,"2101","Downtown Core","AFT S'PORE FLYER","Raffles Ave","Marina Centre","Central Region",6.96264424323189
103.8545342,1.290955923,0.632,0.988,0.464,0.625,"2111","Downtown Core","Esplanade Bridge","Esplanade Dr","City Hall","Central Region",9.1605934227553
103.8553433,1.291844074,0.144,0.97,0.335,0.125,"2119","Downtown Core","Opp War Memorial Pk","Nicoll Highway","Marina Centre","Central Region",7.044335945287
103.8593381,1.295765716,0.002,0.922,0.378,0.125,"2141","Downtown Core","Suntec Twr Two","Temasek Blvd","Marina Centre","Central Region",6.74328610916412
103.8595553,1.295604598,0,0.97,0,0.125,"2149","Downtown Core","Suntec Twr Three","Temasek Blvd","Marina Centre","Central Region",6.05033763764665
103.8578462,1.293177763,0.009,0.97,0.378,0.125,"2151","Downtown Core","Suntec Convention Ctr","Temasek Blvd","Marina Centre","Central Region",6.83613424447226
103.8584067,1.293608112,0.002,0.97,0.378,0.125,"2159","Downtown Core","Opp Suntec Convention Ctr","Temasek Blvd","Marina Centre","Central Region",6.82044846424028
103.8609316,1.292685535,0.009,0.977,0.342,0.125,"2161","Downtown Core","Promenade Stn","Temasek Ave","Marina Centre","Central Region",6.77987682968738
103.8607085,1.293338368,0.004,0.964,0.417,0.25,"2169","Downtown Core","Promenade Stn Exit B","Temasek Ave","Marina Centre","Central Region",7.13919522621404
103.8609219,1.2907,0.061,0.985,0.415,0.25,"2171","Downtown Core","Opp The Ritz-Carlton","Temasek Ave","Marina Centre","Central Region",7.29443395260424
103.8509817,1.289474444,0.012,0.974,0.309,0.25,"2181","Downtown Core","Supreme Ct","Parliament Pl","City Hall","Central Region",6.97090349567525
103.8534222,1.285618409,0.632,0.98,0.513,0.125,"3011","Downtown Core","Fullerton Sq","Fullerton Rd","Clifford Pier","Central Region",8.29769570456457
103.8531081,1.284245,0.579,0.978,0.385,0.125,"3019","Downtown Core","OUE Bayfront","Collyer Quay","Clifford Pier","Central Region",7.96968166511716
103.849989,1.282555246,0.035,0.973,0.304,0.125,"3021","Downtown Core","Prudential Twr","Cecil St","Raffles Place","Central Region",6.75887826844984
103.8508607,1.282074922,0.597,0.973,0.565,0.125,"3031","Downtown Core","Raffles Pl Stn Exit F","Robinson Rd","Raffles Place","Central Region",8.31785720626966
103.8489321,1.281795094,0.005,0.959,0.304,0.125,"3041","Others","Telok Ayer Stn Exit A","Cross St","Chinatown","Central Region",6.66992997990276
103.851461,1.281111,0.677,0.985,0.354,0.125,"3059","Downtown Core","One Raffles Quay","Raffles Quay","Central Subzone","Central Region",8.09219972168297
103.8494003,1.279906096,0.296,0.977,0.531,0.25,"3071","Downtown Core","OPP SO SOFITEL S'PORE","Robinson Rd","Cecil","Central Region",7.96732203046429
103.8481012,1.277825954,0.893,0.976,0.587,0.25,"3111","Downtown Core","Aft Capital Twr","Robinson Rd","Cecil","Central Region",9.11000654189622
103.8495672,1.278070035,1,0.993,0.466,0.25,"3129","Downtown Core","UIC Bldg","Shenton Way","Cecil","Central Region",9.09425598210915
103.8477623,1.278921246,0.04,0.969,0.336,0.25,"3151","Downtown Core","Opp GB Bldg","Cecil St","Cecil","Central Region",7.07603369517918
103.8479444,1.275522189,0.071,0.934,0.422,0.125,"3217","Downtown Core","Opp AXA Twr","Shenton Way","Central Subzone","Central Region",6.99527493823952
103.8468739,1.274078889,0.928,1,0.422,0.75,"3218","Downtown Core","Opp MAS Bldg","Shenton Way","Central Subzone","Central Region",9.80895979863515
103.8448956,1.273978369,0.101,0.968,0.371,0.125,"3222","Downtown Core","Hub Synergy Pt","Anson Rd","Anson","Central Region",7.01927829400794
103.8463247,1.275703395,0.04,0.962,0.371,0.125,"3223","Downtown Core","Tanjong Pagar Stn Exit C","Anson Rd","Tanjong Pagar","Central Region",6.87880749314235
103.8475672,1.27464227,0.022,0.964,0.382,0.25,"3239","Downtown Core","Shenton Way Ter","Shenton Way","Central Subzone","Central Region",7.11463679834921
103.84537,1.27456,0.79,0.968,0.646,0.125,"3241","Downtown Core","Mapletree Anson","Anson Rd","Tanjong Pagar","Central Region",8.77848661715961
103.8607681,1.276633072,0.005,0,0.394,0.125,"3331","Others","Bef Marina Gdns Dr","Marina Blvd","Marina South","Central Region",5.07632142655184
103.8595002,1.274985164,0.001,0.978,0,0.125,"3339","Others","Aft Marina Gdns Dr","Central Blvd","Straits View","Central Region",6.06537753932292
103.8643377,1.2795978,0.004,0,0.356,0.125,"3341","Others","Bef Gdns by the Bay","Marina Gdns Dr","Marina South","Central Region",5.00326111929258
103.8647781,1.279656006,0.001,0,0.264,0.125,"3349","Others","Aft Gdns by the Bay","Marina Gdns Dr","Marina South","Central Region",4.82085400759509
103.8698745,1.279607721,0.002,0,0.292,0.125,"3369","Others","Marina Barrage","Marina Gdns Dr","Marina South","Central Region",4.87723953028168
103.8662696,1.280664793,0.003,0,0.322,0.125,"3371","Others","Gdns by the Bay","Marina Gdns Dr","Marina South","Central Region",4.93682224964287
