"from","to","DAY_TYPE","weight","category"
"287","296","WEEKENDS/HOLIDAY",240,1
"291","296","WEEKDAY",180,1
"291","296","WEEKENDS/HOLIDAY",60,1
"320","296","WEEKDAY",40,1
"313","296","WEEKENDS/HOLIDAY",20,1
"300","296","WEEKENDS/HOLIDAY",20,1
"308","296","WEEKDAY",1940,1
"236","296","WEEKDAY",20,1
"131","296","WEEKENDS/HOLIDAY",20,1
"131","296","WEEKDAY",40,1
"313","296","WEEKDAY",20,1
"287","296","WEEKDAY",180,1
"308","296","WEEKENDS/HOLIDAY",1500,1
"103","6","WEEKENDS/HOLIDAY",20,1
"63","6","WEEKDAY",220,1
"145","6","WEEKENDS/HOLIDAY",20,1
"206","6","WEEKENDS/HOLIDAY",100,1
"49","6","WEEKENDS/HOLIDAY",80,1
"15","6","WEEKENDS/HOLIDAY",40,1
"32","6","WEEKENDS/HOLIDAY",80,1
"132","6","WEEKENDS/HOLIDAY",40,1
"68","6","WEEKDAY",20,1
"53","6","WEEKENDS/HOLIDAY",560,1
"100","6","WEEKENDS/HOLIDAY",120,1
"188","6","WEEKENDS/HOLIDAY",220,1
"110","6","WEEKDAY",40,1
"36","6","WEEKDAY",1000,1
"36","6","WEEKENDS/HOLIDAY",340,1
"6","6","WEEKENDS/HOLIDAY",540,1
"72","6","WEEKDAY",40,1
"96","6","WEEKDAY",40,1
"206","6","WEEKDAY",380,1
"130","6","WEEKENDS/HOLIDAY",40,1
"105","6","WEEKDAY",60,1
"6","6","WEEKDAY",3500,1
"35","6","WEEKENDS/HOLIDAY",160,1
"66","6","WEEKENDS/HOLIDAY",80,1
"63","6","WEEKENDS/HOLIDAY",20,1
"245","6","WEEKDAY",200,1
"107","6","WEEKENDS/HOLIDAY",200,1
"132","6","WEEKDAY",20,1
"100","6","WEEKDAY",20,1
"172","6","WEEKDAY",20,1
"53","6","WEEKDAY",1380,1
"60","6","WEEKENDS/HOLIDAY",80,1
"125","6","WEEKENDS/HOLIDAY",520,1
"125","6","WEEKDAY",660,1
"49","6","WEEKDAY",1020,1
"245","6","WEEKENDS/HOLIDAY",20,1
"5","6","WEEKDAY",9640,1
"188","6","WEEKDAY",80,1
