"from","to","DAY_TYPE","weight","category"
"287","296","WEEKENDS/HOLIDAY",20,1
"308","296","WEEKENDS/HOLIDAY",1440,1
"131","296","WEEKENDS/HOLIDAY",20,1
"131","296","WEEKDAY",40,1
"287","296","WEEKDAY",20,1
"320","296","WEEKDAY",40,1
"236","296","WEEKDAY",20,1
"308","296","WEEKDAY",1900,1
"107","6","WEEKENDS/HOLIDAY",200,1
"172","6","WEEKDAY",20,1
"206","6","WEEKDAY",380,1
"66","6","WEEKDAY",380,1
"66","6","WEEKENDS/HOLIDAY",80,1
"188","6","WEEKDAY",80,1
"188","6","WEEKENDS/HOLIDAY",220,1
"110","6","WEEKDAY",20,1
"130","6","WEEKDAY",280,1
"130","6","WEEKENDS/HOLIDAY",40,1
"105","6","WEEKDAY",60,1
"6","6","WEEKENDS/HOLIDAY",160,1
"96","6","WEEKDAY",40,1
"6","6","WEEKDAY",2860,1
"32","6","WEEKENDS/HOLIDAY",80,1
"206","6","WEEKENDS/HOLIDAY",100,1
"32","6","WEEKDAY",160,1
"167","6","WEEKDAY",40,1
"107","6","WEEKDAY",540,1
"233","12","WEEKDAY",20,1
"107","12","WEEKDAY",20,1
"30","12","WEEKDAY",20,1
"110","12","WEEKDAY",20,1
"119","12","WEEKDAY",200,1
"70","12","WEEKDAY",20,1
"107","12","WEEKENDS/HOLIDAY",40,1
"101","12","WEEKDAY",40,1
"167","163","WEEKENDS/HOLIDAY",260,1
"34","163","WEEKDAY",640,1
"170","163","WEEKENDS/HOLIDAY",1160,1
"83","163","WEEKENDS/HOLIDAY",120,1
"137","163","WEEKDAY",180,1
"117","163","WEEKENDS/HOLIDAY",60,1
"99","163","WEEKENDS/HOLIDAY",100,1
"49","163","WEEKDAY",160,1
"167","163","WEEKDAY",620,1
"169","163","WEEKDAY",40,1
"105","163","WEEKDAY",240,1
"103","163","WEEKDAY",140,1
"213","163","WEEKENDS/HOLIDAY",80,1
"24","163","WEEKDAY",240,1
"64","163","WEEKDAY",20,1
"108","163","WEEKDAY",120,1
"99","163","WEEKDAY",60,1
"170","163","WEEKDAY",1180,1
"34","163","WEEKENDS/HOLIDAY",220,1
"133","163","WEEKENDS/HOLIDAY",120,1
"197","163","WEEKDAY",2880,1
"137","163","WEEKENDS/HOLIDAY",60,1
"213","163","WEEKDAY",60,1
"68","163","WEEKENDS/HOLIDAY",20,1
"176","163","WEEKDAY",200,1
"68","163","WEEKDAY",100,1
"212","163","WEEKDAY",60,1
"105","163","WEEKENDS/HOLIDAY",180,1
"135","163","WEEKENDS/HOLIDAY",40,1
"135","163","WEEKDAY",20,1
"92","163","WEEKDAY",20,1
"49","163","WEEKENDS/HOLIDAY",160,1
"168","163","WEEKDAY",20,1
"190","163","WEEKDAY",260,1
"133","163","WEEKDAY",200,1
"117","163","WEEKDAY",340,1
"103","163","WEEKENDS/HOLIDAY",260,1
"100","163","WEEKENDS/HOLIDAY",420,1
"212","163","WEEKENDS/HOLIDAY",20,1
"142","163","WEEKDAY",100,1
"142","163","WEEKENDS/HOLIDAY",60,1
"83","163","WEEKDAY",460,1
"243","163","WEEKDAY",20,1
"157","163","WEEKENDS/HOLIDAY",2680,1
"107","163","WEEKDAY",20,1
"24","163","WEEKENDS/HOLIDAY",80,1
"157","163","WEEKDAY",14740,1
"27","163","WEEKDAY",380,1
"228","163","WEEKENDS/HOLIDAY",20,1
"163","163","WEEKENDS/HOLIDAY",7880,1
"163","163","WEEKDAY",9180,1
"57","163","WEEKDAY",880,1
"100","163","WEEKDAY",940,1
"46","163","WEEKDAY",160,1
"197","163","WEEKENDS/HOLIDAY",620,1
"199","163","WEEKENDS/HOLIDAY",160,1
"46","163","WEEKENDS/HOLIDAY",280,1
"48","163","WEEKDAY",20,1
"190","163","WEEKENDS/HOLIDAY",160,1
"57","163","WEEKENDS/HOLIDAY",420,1
"110","163","WEEKDAY",80,1
"199","163","WEEKDAY",300,1
"64","211","WEEKDAY",680,1
"163","211","WEEKENDS/HOLIDAY",60,1
