"id","name","district","x","y","weight"
"1","MARINA SOUTH","Central Region",31595.8357,29220.1873,5
"2","PEARL'S HILL","Central Region",28679.0634,29782.0519,7
"3","BOAT QUAY","Central Region",29654.9594,29974.6553,5
"4","HENDERSON HILL","Central Region",26782.8261,29933.7651,14
"5","REDHILL","Central Region",26201.958,30005.7035,9
"6","ALEXANDRA HILL","Central Region",25358.8208,29991.3842,24
"7","BUKIT HO SWEE","Central Region",27680.0627,30230.861,10
"8","CLARKE QUAY","Central Region",29253.2073,30222.8645,6
"9","PASIR PANJANG 1","Central Region",22077.3383,29893.7812,34
"10","QUEENSWAY","Central Region",24168.3106,30104.1768,3
"11","KENT RIDGE","Central Region",23464.8409,29725.3706,21
"12","ALEXANDRA NORTH","Central Region",26548.2507,30519.3922,4
"14","INSTITUTION HILL","Central Region",28465.3999,30711.2179,2
"15","ROBERTSON QUAY","Central Region",28416.8477,30409.3607,10
"20","SENTOSA","Central Region",27593.9393,25813.3546,4
"21","CITY TERMINALS","Central Region",28387.3388,27536.5671,10
"22","ANSON","Central Region",29145.35,28466.7783,5
"23","STRAITS VIEW","Central Region",30832.9017,28194.0843,4
"24","MARITIME SQUARE","Central Region",25805.7867,27911.4193,17
"25","TELOK BLANGAH WAY","Central Region",26570.5173,28871.8922,6
"26","MAXWELL","Central Region",29392.0478,29096.7539,1
"27","CECIL","Central Region",29730.1983,29011.3284,4
"28","KAMPONG TIONG BAHRU","Central Region",27335.8305,28979.7731,7
"29","TELOK BLANGAH DRIVE","Central Region",25280.2612,28791.4606,24
"30","PASIR PANJANG 2","Central Region",23692.6385,28894.4099,9
"31","CENTRAL SUBZONE","Central Region",30125.8367,28683.0399,8
"32","SINGAPORE GENERAL HOSPITAL","Central Region",28147.221,29131.0368,6
"33","DEPOT ROAD","Central Region",25244.2071,29407.094,6
"34","PEOPLE'S PARK","Central Region",28831.7807,29419.6457,3
"35","BUKIT MERAH","Central Region",26360.799,29384.1429,8
"36","CHINATOWN","Central Region",29153.9676,29158.0443,14
"37","PHILLIP","Central Region",29706.7242,29744.9079,1
"38","RAFFLES PLACE","Central Region",29968.6175,29572.7618,2
"39","CHINA SQUARE","Central Region",29509.6437,29646.4495,2
"40","TIONG BAHRU","Central Region",27785.672,29590.3951,5
"41","BAYFRONT SUBZONE","Central Region",30806.2418,29530.167,4
"42","TIONG BAHRU STATION","Central Region",27277.4698,29607.0237,6
"43","CLIFFORD PIER","Central Region",30379.5041,29776.4334,2
"44","MARINA EAST (MP)","Central Region",33715.6975,30512.2476,2
