X1,DAY_TYPE,TIME_PER_HOUR,TOTAL_TRIPS,BusStopCode_x,BusStopCode_y
0,WEEKENDS/HOLIDAY,16,80,4168,10051
1,WEEKDAY,16,60,4168,10051
2,WEEKENDS/HOLIDAY,14,80,80119,90079
3,WEEKDAY,14,240,80119,90079
4,WEEKDAY,17,260,20281,20141
5,WEEKENDS/HOLIDAY,17,40,20281,20141
6,WEEKDAY,7,20,19051,10017
7,WEEKENDS/HOLIDAY,17,18,11169,4219
8,WEEKDAY,14,40,81049,70161
9,WEEKENDS/HOLIDAY,14,20,81049,70161
10,WEEKDAY,13,2,51059,4019
11,WEEKENDS/HOLIDAY,13,6,51059,4019
12,WEEKENDS/HOLIDAY,10,2,82049,15151
13,WEEKDAY,10,152,82049,15151
14,WEEKDAY,10,8,82049,15151
15,WEEKENDS/HOLIDAY,10,38,82049,15151
16,WEEKDAY,20,100,83169,82149
17,WEEKENDS/HOLIDAY,20,40,83169,82149
18,WEEKENDS/HOLIDAY,9,4,14179,3071
19,WEEKDAY,9,28,14179,3071
20,WEEKDAY,14,20,43241,44211
21,WEEKENDS/HOLIDAY,14,40,43241,44211
22,WEEKENDS/HOLIDAY,15,120,14519,28649
23,WEEKDAY,17,20,65431,70259
24,WEEKENDS/HOLIDAY,14,20,44111,45309
25,WEEKDAY,14,60,44111,45309
26,WEEKENDS/HOLIDAY,16,80,14249,43431
27,WEEKENDS/HOLIDAY,14,220,76209,82029
28,WEEKDAY,14,60,76209,82029
29,WEEKENDS/HOLIDAY,7,60,71071,84011
30,WEEKDAY,7,100,71071,84011
31,WEEKDAY,19,80,92079,11419
32,WEEKDAY,14,50,92231,3019
33,WEEKENDS/HOLIDAY,14,24,92231,3019
34,WEEKENDS/HOLIDAY,9,60,46491,43119
35,WEEKENDS/HOLIDAY,11,60,93019,28009
36,WEEKDAY,8,20,11321,11341
37,WEEKDAY,10,600,28349,28009
38,WEEKENDS/HOLIDAY,10,320,28349,28009
39,WEEKDAY,11,360,76061,67241
40,WEEKENDS/HOLIDAY,11,300,76061,67241
41,WEEKENDS/HOLIDAY,10,40,83101,55251
42,WEEKENDS/HOLIDAY,21,120,60249,60161
43,WEEKDAY,21,320,60249,60161
44,WEEKENDS/HOLIDAY,19,40,60261,63349
45,WEEKDAY,19,620,60261,63349
46,WEEKDAY,17,100,11459,14169
47,WEEKENDS/HOLIDAY,17,100,11459,14169
48,WEEKDAY,17,2,17079,4321
49,WEEKENDS/HOLIDAY,17,10,17079,4321
50,WEEKENDS/HOLIDAY,18,60,55171,54199
51,WEEKDAY,18,240,55171,54199
52,WEEKENDS/HOLIDAY,9,500,28091,21419
53,WEEKDAY,9,560,28091,21419
