,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,BusStopCode_x,RoadName_Origin,Description_Origin,Planning_Area_Origin,Latitude_Origin,Longitude_Origin,BusStopCode_y,RoadName_Destination,Description_Destination,Planning_Area_Destination,Latitude_Destination,Longitude_Destination
0,2020-01,WEEKENDS/HOLIDAY,16,BUS,4168,10051,80,4168.0,Nth Bridge Rd,Aft City Hall Stn Exit B,DOWNTOWN CORE,1.29208221483052,103.85125994680256,10051.0,Jln Bt Merah,Blk 149,BUKIT MERAH,1.2774116353283995,103.83214410914844
1,2020-01,WEEKDAY,16,BUS,4168,10051,60,4168.0,Nth Bridge Rd,Aft City Hall Stn Exit B,DOWNTOWN CORE,1.29208221483052,103.85125994680256,10051.0,Jln Bt Merah,Blk 149,BUKIT MERAH,1.2774116353283995,103.83214410914844
2,2020-01,WEEKENDS/HOLIDAY,14,BUS,80119,90079,80,80119.0,Sims Way,Aft Geylang Rd,GEYLANG,1.30992065473549,103.87599804972947,90079.0,Rhu Cross,Opp Costa Rhu Condo,KALLANG,1.29760718196372,103.86732745550238
3,2020-01,WEEKDAY,14,BUS,80119,90079,240,80119.0,Sims Way,Aft Geylang Rd,GEYLANG,1.30992065473549,103.87599804972947,90079.0,Rhu Cross,Opp Costa Rhu Condo,KALLANG,1.29760718196372,103.86732745550238
4,2020-01,WEEKDAY,17,BUS,20281,20141,260,20281.0,West Coast Highway,Opp The Japanese Sec Sch,CLEMENTI,1.3123421952490602,103.75484214400764,20141.0,West Coast Rd,Opp Blk 408,JURONG EAST,1.31771999750607,103.74877105280329
5,2020-01,WEEKENDS/HOLIDAY,17,BUS,20281,20141,40,20281.0,West Coast Highway,Opp The Japanese Sec Sch,CLEMENTI,1.3123421952490602,103.75484214400764,20141.0,West Coast Rd,Opp Blk 408,JURONG EAST,1.31771999750607,103.74877105280329
6,2020-01,WEEKDAY,7,BUS,19051,10017,20,19051.0,Dover Rd,New Town Sec Sch,QUEENSTOWN,1.30896444398008,103.77392333299538,10017.0,Eu Tong Sen St,Aft Hosp Dr,BUKIT MERAH,1.2783204663339298,103.83762574759972
7,2020-01,WEEKENDS/HOLIDAY,17,BUS,11169,4219,18,11169.0,C'wealth Ave,C'Wealth Stn Exit B/C,QUEENSTOWN,1.30270500001823,103.79838166697328,4219.0,River Valley Rd,Opp Clarke Quay,MUSEUM,1.29096802754795,103.84686777836988
8,2020-01,WEEKDAY,14,BUS,81049,70161,40,81049.0,Geylang Rd,Aft Lor 34 Geylang,GEYLANG,1.314075556,103.8873525,70161.0,Merpati Rd,OPP MATTAR STN EXIT A,GEYLANG,1.32758635490072,103.88324806418215
9,2020-01,WEEKENDS/HOLIDAY,14,BUS,81049,70161,20,81049.0,Geylang Rd,Aft Lor 34 Geylang,GEYLANG,1.314075556,103.8873525,70161.0,Merpati Rd,OPP MATTAR STN EXIT A,GEYLANG,1.32758635490072,103.88324806418215
10,2020-01,WEEKDAY,13,BUS,51059,4019,2,51059.0,Thomson Rd,AFT TOA PAYOH RISE,NOVENA,1.3370325833883,103.83735019393414,4019.0,Bencoolen St,OPP BENCOOLEN STN EXIT B,MUSEUM,1.29807216909408,103.84975607305785
11,2020-01,WEEKENDS/HOLIDAY,13,BUS,51059,4019,6,51059.0,Thomson Rd,AFT TOA PAYOH RISE,NOVENA,1.3370325833883,103.83735019393414,4019.0,Bencoolen St,OPP BENCOOLEN STN EXIT B,MUSEUM,1.29807216909408,103.84975607305785
12,2020-01,WEEKENDS/HOLIDAY,10,BUS,82049,15151,2,82049.0,Changi Rd,Joo Chiat Cplx,GEYLANG,1.3163417054851398,103.89891621295055,15151.0,Pasir Panjang Rd,Opp Mapletree Biz City,QUEENSTOWN,1.2738919290693898,103.7982220898242
13,2020-01,WEEKDAY,10,BUS,82049,15151,152,82049.0,Changi Rd,Joo Chiat Cplx,GEYLANG,1.3163417054851398,103.89891621295055,15151.0,Pasir Panjang Rd,Opp Mapletree Biz City,QUEENSTOWN,1.2738919290693898,103.7982220898242
14,2020-01,WEEKDAY,10,BUS,82049,15151,8,82049.0,Changi Rd,Joo Chiat Cplx,GEYLANG,1.3163417054851398,103.89891621295055,15151.0,Pasir Panjang Rd,Opp Mapletree Biz City,QUEENSTOWN,1.2738919290693898,103.7982220898242
