"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","BusStopCode","Description","RoadName","planning_area","combined.f"
103.8525359,1.296848255,0,0,0,0,"1012","Hotel Grand Pacific","Victoria St","Downtown Core",-Inf
103.8532247,1.297709706,0,0,0,0,"1013","St. Joseph's Ch","Victoria St","Others",-Inf
103.853022,1.296989512,0,0,0,0,"1019","Bras Basah Cplx","Victoria St","Downtown Core",-Inf
103.8544142,1.296672985,0,0,0,0,"1029","Opp Natl Lib","Nth Bridge Rd","Downtown Core",-Inf
103.8554914,1.298207841,0,0,0,0,"1039","Bugis Cube","Nth Bridge Rd","Downtown Core",-Inf
103.8561104,1.300756795,0,0,0,0,"1059","Bugis Stn Exit B","Victoria St","Downtown Core",-Inf
103.8565037,1.303585776,0,0,0,0,"1109","Queen St Ter","Queen St","Others",-Inf
103.8552003,1.300092128,0,0,0,0,"1112","Opp Bugis Junction","Victoria St","Others",-Inf
103.856114,1.301172975,0,0,0,0,"1113","Bugis Stn Exit A","Victoria St","Downtown Core",-Inf
103.8551293,1.299604109,0,0,0,0,"1119","Bugis Junction","Victoria St","Downtown Core",-Inf
103.85868,1.303938097,0,0,0,0,"1121","Stamford Pr Sch","Victoria St","Others",-Inf
103.8586453,1.303502692,0,0,0,0,"1129","Opp Stamford Pr Sch","Victoria St","Others",-Inf
103.8571608,1.300330579,0,0,0,0,"1139","Parkview Sq","Nth Bridge Rd","Downtown Core",-Inf
103.860545,1.305518035,0,0,0,0,"1211","Opp Blk 461","Victoria St","Kallang",-Inf
103.8607202,1.305265985,0,0,0,0,"1219","Blk 461","Victoria St","Kallang",-Inf
103.8596309,1.303375526,0,0,0,0,"1229","Bef Sultan Mque","Nth Bridge Rd","Others",-Inf
103.8610831,1.30325,0,0,0,0,"1231","Opp Textile Ctr","Jln Sultan","Others",-Inf
103.8616182,1.302912366,0,0,0,0,"1239","Sultan Plaza","Jln Sultan","Kallang",-Inf
103.862197,1.307091646,0,0,0,0,"1311","Lavender Stn Exit B","Kallang Rd","Kallang",-Inf
103.863256,1.307574267,0,0,0,0,"1319","Lavender Stn Exit A/ICA","Kallang Rd","Kallang",-Inf
103.8636303,1.304956702,0,0,0,0,"1329","Blk 8","Nth Bridge Rd","Kallang",-Inf
103.8642627,1.307746017,0,0,0,0,"1339","Bef Crawford Bridge","Crawford St","Kallang",-Inf
103.8645253,1.306475556,0,0,0,0,"1341","Southbank","Crawford St","Kallang",-Inf
103.8654399,1.305686357,0,0,0,0,"1349","Opp Blk 4","Crawford St","Kallang",-Inf
103.862956,1.302113329,0,0,0,0,"1411","Opp St. John HQ","Beach Rd","Kallang",-Inf
103.8632633,1.30202,0,0,0,0,"1419","St. John HQ","Beach Rd","Kallang",-Inf
103.8648389,1.303384444,0,0,0,0,"1421","Opp Golden Mile Cplx","Beach Rd","Kallang",-Inf
103.8650158,1.303213609,0,0,0,0,"1429","Golden Mile Cplx","Beach Rd","Kallang",-Inf
103.8586452,1.299198261,0,0,0,0,"1511","Opp The Gateway","Beach Rd","Downtown Core",-Inf
103.8589103,1.299074925,0,0,0,0,"1519","The Gateway","Beach Rd","Downtown Core",-Inf
103.860661,1.300883044,0,0,0,0,"1521","Opp Plaza Parkroyal","Beach Rd","Others",-Inf
103.8604412,1.300416677,0,0,0,0,"1529","Plaza Parkroyal","Beach Rd","Others",-Inf
103.8573458,1.298864654,0,0,0,0,"1541","Bugis Stn Exit D","Rochor Rd","Downtown Core",-Inf
103.8587312,1.300698689,0,0,0,0,"1549","Opp Duo Residences","Ophir Rd","Others",-Inf
103.8575292,1.301687311,0,0,0,0,"1559","Landmark Village Hotel","Ophir Rd","Others",-Inf
103.8553369,1.295272592,0,0,0,0,"1611","Aft Raffles Hotel","Beach Rd","Downtown Core",-Inf
103.8550381,1.294286942,0,0,0,0,"1619","Esplanade Stn Exit F","Beach Rd","Downtown Core",-Inf
103.8565561,1.296958889,0,0,0,0,"1621","Opp Shaw Twrs","Beach Rd","Downtown Core",-Inf
103.8568653,1.296959722,0,0,0,0,"1629","Shaw Twrs","Beach Rd","Downtown Core",-Inf
103.8558056,1.296936146,0,0,0,0,"1631","Aft Beach Rd","Middle Rd","Downtown Core",-Inf
103.8555758,1.2973875,0,0,0,0,"1639","Bef Beach Rd","Middle Rd","Downtown Core",-Inf
103.8529332,1.288790151,0,0,0,0,"2029","Opp S'pore Cricket Club","Connaught Dr","Downtown Core",-Inf
103.8540216,1.294520912,0,0,0,0,"2049","Raffles Hotel","Bras Basah Rd","Downtown Core",-Inf
103.8590339,1.289503056,0,0,0,0,"2051","The Float @ Marina Bay","Raffles Ave","Downtown Core",-Inf
103.8564039,1.289963889,0,0,0,0,"2061","The Esplanade","Raffles Ave","Downtown Core",-Inf
103.8592061,1.291526944,0,0,0,0,"2089","Pan Pacific Hotel","Raffles Blvd","Downtown Core",-Inf
103.8614856,1.291472648,0,0,0,0,"2099","Marina Ctr Ter","Raffles Blvd","Downtown Core",-Inf
103.8618315,1.289384838,0,0,0,0,"2101","AFT S'PORE FLYER","Raffles Ave","Downtown Core",-Inf
103.8545342,1.290955923,0,0,0,0,"2111","Esplanade Bridge","Esplanade Dr","Downtown Core",-Inf
103.8553433,1.291844074,0,0,0,0,"2119","Opp War Memorial Pk","Nicoll Highway","Downtown Core",-Inf
103.8593381,1.295765716,0,0,0,0,"2141","Suntec Twr Two","Temasek Blvd","Downtown Core",-Inf
103.8595553,1.295604598,0,0,0,0,"2149","Suntec Twr Three","Temasek Blvd","Downtown Core",-Inf
103.8578462,1.293177763,0,0,0,0,"2151","Suntec Convention Ctr","Temasek Blvd","Downtown Core",-Inf
103.8584067,1.293608112,0,0,0,0,"2159","Opp Suntec Convention Ctr","Temasek Blvd","Downtown Core",-Inf
103.8609316,1.292685535,0,0,0,0,"2161","Promenade Stn","Temasek Ave","Downtown Core",-Inf
103.8607085,1.293338368,0,0,0,0,"2169","Promenade Stn Exit B","Temasek Ave","Downtown Core",-Inf
103.8609219,1.2907,0,0,0,0,"2171","Opp The Ritz-Carlton","Temasek Ave","Downtown Core",-Inf
103.8509817,1.289474444,0,0,0,0,"2181","Supreme Ct","Parliament Pl","Downtown Core",-Inf
103.8534222,1.285618409,0,0,0,0,"3011","Fullerton Sq","Fullerton Rd","Downtown Core",-Inf
103.8531081,1.284245,0,0,0,0,"3019","OUE Bayfront","Collyer Quay","Downtown Core",-Inf
103.849989,1.282555246,0,0,0,0,"3021","Prudential Twr","Cecil St","Downtown Core",-Inf
103.8508607,1.282074922,0,0,0,0,"3031","Raffles Pl Stn Exit F","Robinson Rd","Downtown Core",-Inf
103.8489321,1.281795094,0,0,0,0,"3041","Telok Ayer Stn Exit A","Cross St","Others",-Inf
103.851461,1.281111,0,0,0,0,"3059","One Raffles Quay","Raffles Quay","Downtown Core",-Inf
103.8494003,1.279906096,0,0,0,0,"3071","OPP SO SOFITEL S'PORE","Robinson Rd","Downtown Core",-Inf
103.8481012,1.277825954,0,0,0,0,"3111","Aft Capital Twr","Robinson Rd","Downtown Core",-Inf
103.8495672,1.278070035,0,0,0,0,"3129","UIC Bldg","Shenton Way","Downtown Core",-Inf
103.8477623,1.278921246,0,0,0,0,"3151","Opp GB Bldg","Cecil St","Downtown Core",-Inf
103.8479444,1.275522189,0,0,0,0,"3217","Opp AXA Twr","Shenton Way","Downtown Core",-Inf
103.8468739,1.274078889,0,0,0,0,"3218","Opp MAS Bldg","Shenton Way","Downtown Core",-Inf
103.8448956,1.273978369,0,0,0,0,"3222","Hub Synergy Pt","Anson Rd","Downtown Core",-Inf
103.8463247,1.275703395,0,0,0,0,"3223","Tanjong Pagar Stn Exit C","Anson Rd","Downtown Core",-Inf
103.8475672,1.27464227,0,0,0,0,"3239","Shenton Way Ter","Shenton Way","Downtown Core",-Inf
103.84537,1.27456,0,0,0,0,"3241","Mapletree Anson","Anson Rd","Downtown Core",-Inf
103.8607681,1.276633072,0,0,0,0,"3331","Bef Marina Gdns Dr","Marina Blvd","Others",-Inf
103.8595002,1.274985164,0,0,0,0,"3339","Aft Marina Gdns Dr","Central Blvd","Others",-Inf
103.8643377,1.2795978,0,0,0,0,"3341","Bef Gdns by the Bay","Marina Gdns Dr","Others",-Inf
103.8647781,1.279656006,0,0,0,0,"3349","Aft Gdns by the Bay","Marina Gdns Dr","Others",-Inf
103.8698745,1.279607721,0,0,0,0,"3369","Marina Barrage","Marina Gdns Dr","Others",-Inf
103.8662696,1.280664793,0,0,0,0,"3371","Gdns by the Bay","Marina Gdns Dr","Others",-Inf
103.8530651,1.281626013,0,0,0,0,"3381","The Sail","Marina Blvd","Downtown Core",-Inf
103.8549801,1.280376603,0,0,0,0,"3391","Marina Bay Financial Ctr","Marina Blvd","Downtown Core",-Inf
103.863009,1.271592999,0,0,0,0,"3411","Opp Marina Sth Pier","Marina Coastal Dr","Others",-Inf
103.8629769,1.271276985,0,0,0,0,"3419","Marina Sth Pier","Marina Coastal Dr","Others",-Inf
103.8606111,1.285004677,0,0,0,0,"3501","Marina Bay Sands Theatre","Bayfront Ave","Downtown Core",-Inf
103.8600439,1.28315,0,0,0,0,"3509","Bayfront Stn Exit B/MBS","Bayfront Ave","Downtown Core",-Inf
103.8589706,1.281947795,0,0,0,0,"3511","Aft Bayfront Stn Exit E","Bayfront Ave","Downtown Core",-Inf
103.858848,1.281245,0,0,0,0,"3519","Bayfront Stn Exit A","Bayfront Ave","Downtown Core",-Inf
103.8527877,1.279399574,0,0,0,0,"3529","Downtown Stn","Central Blvd","Downtown Core",-Inf
103.8556161,1.277533055,0,0,0,0,"3539","Marina Bay Stn","Central Blvd","Downtown Core",-Inf
103.8497561,1.298072169,0,0,0,0,"4019","OPP BENCOOLEN STN EXIT B","Bencoolen St","Others",-Inf
103.8509267,1.299481667,0,0,0,0,"4029","BEF BENCOOLEN STN EXIT A","Bencoolen St","Others",-Inf
103.851391,1.293954442,0,0,0,0,"4111","Capitol Bldg","Stamford Rd","Downtown Core",-Inf
103.8495803,1.296185441,0,0,0,0,"4121","SMU","Stamford Rd","Others",-Inf
103.8496599,1.293098264,0,0,0,0,"4142","Armenian Ch","Hill St","Downtown Core",-Inf
103.8502061,1.294116408,0,0,0,0,"4143","Stamford Ct","Hill St","Others",-Inf
103.8498374,1.292761324,0,0,0,0,"4149","Grand Pk City Hall","Hill St","Downtown Core",-Inf
103.8511397,1.295337778,0,0,0,0,"4151","Cath Of The Good Shepherd","Victoria St","Others",-Inf
103.8510814,1.29489485,0,0,0,0,"4159","Aft Chijmes","Victoria St","Downtown Core",-Inf
103.8514532,1.292500065,0,0,0,0,"4167","City Hall Stn Exit B","Nth Bridge Rd","Downtown Core",-Inf
103.8512599,1.292082215,0,0,0,0,"4168","Aft City Hall Stn Exit B","Nth Bridge Rd","Downtown Core",-Inf
103.8514716,1.296479163,0,0,0,0,"4179","AFT BRAS BASAH STN EXIT A","Bras Basah Rd","Others",-Inf
103.8471244,1.290436111,0,0,0,0,"4211","Clarke Quay","River Valley Rd","Others",-Inf
103.8468678,1.290968028,0,0,0,0,"4219","Opp Clarke Quay","River Valley Rd","Others",-Inf
103.8470898,1.288989622,0,0,0,0,"4222","Clarke Quay Stn Exit E","Eu Tong Sen St","Others",-Inf
103.848579,1.290844761,0,0,0,0,"4223","Old Hill St Police Stn","Hill St","Downtown Core",-Inf
103.8487512,1.290448308,0,0,0,0,"4229","High St Ctr","Hill St","Downtown Core",-Inf
103.8474938,1.288827179,0,0,0,0,"4239","Opp Clarke Quay Stn","New Bridge Rd","Others",-Inf
103.8502622,1.290430394,0,0,0,0,"4249","Opp The Treasury","Nth Bridge Rd","Downtown Core",-Inf
103.8488847,1.289738333,0,0,0,0,"4251","Opp High St Ctr","Nth Boat Quay","Downtown Core",-Inf
103.8439214,1.294645753,0,0,0,0,"4311","Aft River Valley Rd","Clemenceau Ave","Others",-Inf
103.8430365,1.292140008,0,0,0,0,"4321","Shell HSE","Clemenceau Ave","Others",-Inf
103.8432838,1.291970571,0,0,0,0,"4329","Opp Shell HSE","Clemenceau Ave","Others",-Inf
103.8450409,1.291839394,0,0,0,0,"4331","BEF FORT CANNING STN","River Valley Rd","Others",-Inf
103.845005,1.292211,0,0,0,0,"4339","FORT CANNING STN EXIT B","River Valley Rd","Others",-Inf
103.8492364,1.285925541,0,0,0,0,"5009","Opp OCBC Ctr","Nth Canal Rd","Others",-Inf
103.8408772,1.281545833,0,0,0,0,"5012","Bef Pearl'S Hill Terr","Eu Tong Sen St","Others",-Inf
103.8429987,1.284069799,0,0,0,0,"5013","Chinatown Stn Exit C","Eu Tong Sen St","Others",-Inf
103.84105,1.281183889,0,0,0,0,"5019","Aft Duxton Plain Pk ","New Bridge Rd","Others",-Inf
103.844372,1.285710899,0,0,0,0,"5022","Aft Chinatown Stn Exit D","Eu Tong Sen St","Others",-Inf
103.8454038,1.286929284,0,0,0,0,"5023","Opp Hong Lim Pk","Eu Tong Sen St","Others",-Inf
103.8481978,1.287122834,0,0,0,0,"5029","Boat Quay","Sth Bridge Rd","Others",-Inf
103.8425428,1.282938191,0,0,0,0,"5039","New Bridge Ctr","New Bridge Rd","Others",-Inf
103.8445507,1.285311148,0,0,0,0,"5049","Chinatown Pt","New Bridge Rd","Others",-Inf
103.8457504,1.286764201,0,0,0,0,"5059","Hong Lim Pk","New Bridge Rd","Others",-Inf
103.8402979,1.2802763,0,0,0,0,"5069","Outram Pk Stn Exit H","New Bridge Rd","Others",-Inf
103.8463467,1.286011667,0,0,0,0,"5129","Hong Lim Pk","Upp Pickering St","Others",-Inf
103.8453381,1.284073056,0,0,0,0,"5131","Opp Hong Lim Cplx","Upp Cross St","Others",-Inf
103.8452806,1.282091396,0,0,0,0,"5189","Opp Sri Mariamman Tp","Sth Bridge Rd","Others",-Inf
103.8466605,1.284514558,0,0,0,0,"5199","Opp Hong Lim Cplx","Sth Bridge Rd","Others",-Inf
103.8415105,1.27854113,0,0,0,0,"5239","Bef The Pinnacle@Duxton","Neil Rd","Others",-Inf
103.8422749,1.280719882,0,0,0,0,"5241","Opp Blk 333","Kreta Ayer Rd","Others",-Inf
103.8426271,1.279794478,0,0,0,0,"5259","Aft Kreta Ayer Rd","Neil Rd","Others",-Inf
103.8446005,1.280977473,0,0,0,0,"5269","Maxwell Rd FC","Sth Bridge Rd","Downtown Core",-Inf
103.8438221,1.279753295,0,0,0,0,"5271","Opp Fairfield Meth Ch","Tg Pagar Rd","Others",-Inf
103.849114,1.284437,0,0,0,0,"5319","OCBC Ctr","Church St","Downtown Core",-Inf
103.8430919,1.275191657,0,0,0,0,"5411","Tg Pagar Plaza","Tg Pagar Rd","Others",-Inf
103.8431868,1.274706695,0,0,0,0,"5419","The Amara","Tg Pagar Rd","Others",-Inf
103.8434635,1.277774706,0,0,0,0,"5421","Aft Craig Rd","Tg Pagar Rd","Others",-Inf
103.8437065,1.277694131,0,0,0,0,"5429","Bef Craig Rd","Tg Pagar Rd","Others",-Inf
103.8420461,1.27408,0,0,0,0,"5431","TOWER 15","Hoe Chiang Rd","Downtown Core",-Inf
103.8411269,1.275534722,0,0,0,0,"5519","Opp Maritime Hse","Cantonment Rd","Others",-Inf
103.8405922,1.276768611,0,0,0,0,"5521","Maritime Hse","Cantonment Rd","Others",-Inf
103.84187,1.273211389,0,0,0,0,"5629","Opp Southpoint","Cantonment Rd","Downtown Core",-Inf
103.8403472,1.273460559,0,0,0,0,"5631","Blk 16","Cantonment Link","Bukit Merah",-Inf
103.8414062,1.272723931,0,0,0,0,"5641","Bef Cantonment Rd","Keppel Rd","Bukit Merah",-Inf
103.8409391,1.272384212,0,0,0,0,"5649","Opp Customs Port Br HQ","Keppel Rd","Bukit Merah",-Inf
103.8430731,1.273218611,0,0,0,0,"5651","Opp Fuji Xerox Twrs","Tg Pagar Rd","Downtown Core",-Inf
103.8380139,1.28166,0,0,0,0,"6011","Opp Outram Pk Stn","Outram Rd","Bukit Merah",-Inf
103.8383828,1.281770412,0,0,0,0,"6029","Outram Pk Stn","Outram Rd","Bukit Merah",-Inf
103.8387917,1.286070556,0,0,0,0,"6031","Opp Blk 13","Chin Swee Rd","Others",-Inf
103.8396256,1.287059979,0,0,0,0,"6039","Blk 8","Chin Swee Rd","Others",-Inf
103.8351771,1.284748569,0,0,0,0,"6049","BEF OUTRAM FLYOVER","Outram Rd","Bukit Merah",-Inf
103.8340567,1.28475981,0,0,0,0,"6051","Blk 55","Tiong Bahru Rd","Bukit Merah",-Inf
103.8349616,1.286231577,0,0,0,0,"6069","Aft Furama RiverFront","Outram Rd","Others",-Inf
103.8336003,1.286858595,0,0,0,0,"6071","Blk 2B","Zion Rd","Bukit Merah",-Inf
103.8334988,1.288370864,0,0,0,0,"6081","Blk 94","Zion Rd","Bukit Merah",-Inf
103.8344092,1.290781621,0,0,0,0,"6129","Grand Copthorne Hotel","Kim Seng Rd","Bukit Merah",-Inf
103.8322275,1.291524722,0,0,0,0,"6131","The Boys' Brigade HQ","Zion Rd","Bukit Merah",-Inf
103.8338124,1.289633009,0,0,0,0,"6141","Holiday Inn Atrium","Havelock Rd","Bukit Merah",-Inf
103.8341153,1.289840457,0,0,0,0,"6149","Opp Holiday Inn Atrium","Havelock Rd","Bukit Merah",-Inf
