BusStopCode,Direction,Distance,Operator,ServiceNo,StopSequence
75009,1,0,SBST,10,1
76059,1,0.6,SBST,10,2
76069,1,1.1,SBST,10,3
96289,1,2.3,SBST,10,4
96109,1,2.7,SBST,10,5
85079,1,3.3,SBST,10,6
85089,1,3.5,SBST,10,7
85069,1,3.8,SBST,10,8
85059,1,4.1,SBST,10,9
85049,1,4.5,SBST,10,10
85039,1,4.8,SBST,10,11
85029,1,5,SBST,10,12
85019,1,5.2,SBST,10,13
94079,1,5.5,SBST,10,14
94069,1,6.1,SBST,10,15
94059,1,6.4,SBST,10,16
94049,1,6.8,SBST,10,17
94089,1,7,SBST,10,18
94039,1,7.3,SBST,10,19
94029,1,7.7,SBST,10,20
94019,1,7.9,SBST,10,21
93099,1,8.3,SBST,10,22
93089,1,8.8,SBST,10,23
93079,1,9.1,SBST,10,24
93069,1,9.4,SBST,10,25
93059,1,9.8,SBST,10,26
92159,1,10.1,SBST,10,27
92149,1,10.4,SBST,10,28
92139,1,10.7,SBST,10,29
92129,1,11.2,SBST,10,30
92119,1,11.7,SBST,10,31
92109,1,11.9,SBST,10,32
92099,1,12.2,SBST,10,33
92161,1,12.7,SBST,10,34
82071,1,13.1,SBST,10,35
81199,1,13.9,SBST,10,36
81189,1,14.2,SBST,10,37
81179,1,14.7,SBST,10,38
80141,1,15.3,SBST,10,39
80219,1,16,SBST,10,40
80169,1,17.4,SBST,10,41
80159,1,18.1,SBST,10,42
2119,1,18.6,SBST,10,43
3019,1,19.6,SBST,10,44
3059,1,19.9,SBST,10,45
3129,1,20.3,SBST,10,46
3217,1,20.6,SBST,10,47
5649,1,21.5,SBST,10,48
14061,1,21.8,SBST,10,49
14071,1,22.3,SBST,10,50
14081,1,22.7,SBST,10,51
14101,1,23.1,SBST,10,52
14141,1,23.9,SBST,10,53
14121,1,24.2,SBST,10,54
14131,1,24.6,SBST,10,55
14151,1,25.1,SBST,10,56
14161,1,25.5,SBST,10,57
14171,1,25.9,SBST,10,58
15141,1,26.6,SBST,10,59
15151,1,26.9,SBST,10,60
15161,1,27.1,SBST,10,61
15191,1,27.6,SBST,10,62
15201,1,27.9,SBST,10,63
15221,1,28.5,SBST,10,64
16201,1,28.8,SBST,10,65
16011,1,29.1,SBST,10,66
16021,1,29.6,SBST,10,67
16031,1,29.9,SBST,10,68
16041,1,30.1,SBST,10,69
16051,1,30.4,SBST,10,70
16061,1,30.6,SBST,10,71
16071,1,30.8,SBST,10,72
16081,1,31.1,SBST,10,73
16009,1,31.6,SBST,10,74
16009,2,0,SBST,10,1
16089,2,0.4,SBST,10,2
16079,2,0.7,SBST,10,3
16069,2,1,SBST,10,4
16059,2,1.3,SBST,10,5
16049,2,1.5,SBST,10,6
16039,2,1.7,SBST,10,7
16029,2,2,SBST,10,8
16019,2,2.5,SBST,10,9
16209,2,2.7,SBST,10,10
15229,2,3,SBST,10,11
15219,2,3.2,SBST,10,12
15209,2,3.6,SBST,10,13
15199,2,3.9,SBST,10,14
15169,2,4.4,SBST,10,15
15159,2,4.6,SBST,10,16
15149,2,4.9,SBST,10,17
14189,2,5.3,SBST,10,18
14179,2,5.6,SBST,10,19
14169,2,6,SBST,10,20
14159,2,6.5,SBST,10,21
14139,2,6.9,SBST,10,22
14129,2,7.4,SBST,10,23
14119,2,7.7,SBST,10,24
14109,2,8.4,SBST,10,25
14089,2,8.8,SBST,10,26
14069,2,9.6,SBST,10,27
5641,2,10.2,SBST,10,28
3222,2,10.6,SBST,10,29
3111,2,11.3,SBST,10,30
3071,2,11.6,SBST,10,31
3031,2,11.9,SBST,10,32
3011,2,12.5,SBST,10,33
2111,2,13.1,SBST,10,34
80151,2,13.8,SBST,10,35
80161,2,14.5,SBST,10,36
80211,2,16.1,SBST,10,37
80149,2,16.7,SBST,10,38
81171,2,17.3,SBST,10,39
81181,2,17.8,SBST,10,40
81191,2,18.2,SBST,10,41
82079,2,18.7,SBST,10,42
92169,2,19.2,SBST,10,43
92091,2,19.7,SBST,10,44
92101,2,20,SBST,10,45
92111,2,20.2,SBST,10,46
92121,2,20.7,SBST,10,47
92131,2,21.2,SBST,10,48
92141,2,21.6,SBST,10,49
92151,2,21.8,SBST,10,50
93051,2,22.1,SBST,10,51
93061,2,22.5,SBST,10,52
93071,2,22.9,SBST,10,53
93081,2,23.3,SBST,10,54
93091,2,23.6,SBST,10,55
94011,2,24,SBST,10,56
94021,2,24.4,SBST,10,57
94031,2,24.7,SBST,10,58
94041,2,25.1,SBST,10,59
94051,2,25.5,SBST,10,60
94061,2,26,SBST,10,61
94071,2,26.5,SBST,10,62
85021,2,26.9,SBST,10,63
85031,2,27.3,SBST,10,64
85041,2,27.5,SBST,10,65
85051,2,27.9,SBST,10,66
85061,2,28.2,SBST,10,67
85081,2,28.4,SBST,10,68
85071,2,28.7,SBST,10,69
96101,2,29.1,SBST,10,70
96281,2,29.5,SBST,10,71
76061,2,30.8,SBST,10,72
76051,2,31.3,SBST,10,73
75009,2,31.9,SBST,10,74
66009,1,0,SBST,100,1
62129,1,0.6,SBST,100,2
62119,1,0.9,SBST,100,3
61049,1,1.2,SBST,100,4
61039,1,1.6,SBST,100,5
70069,1,2,SBST,100,6
70059,1,2.7,SBST,100,7
70049,1,2.9,SBST,100,8
70039,1,3.3,SBST,100,9
70029,1,3.6,SBST,100,10
70019,1,4,SBST,100,11
