BusStopCode,planning_area,Longitude,Latitude,Description,RoadName,subzone_name
1012,Downtown Core,103.8525359,1.296848255,Hotel Grand Pacific,Victoria St,Victoria
1013,Rochor,103.8532247,1.297709706,St. Joseph's Ch,Victoria St,Victoria
1019,Downtown Core,103.853022,1.296989512,Bras Basah Cplx,Victoria St,Bugis
1029,Downtown Core,103.8544142,1.296672985,Opp Natl Lib,Nth Bridge Rd,Bugis
1039,Downtown Core,103.8554914,1.298207841,Bugis Cube,Nth Bridge Rd,Bugis
1059,Downtown Core,103.8561104,1.300756795,Bugis Stn Exit B,Victoria St,Bugis
1109,Rochor,103.8565037,1.303585776,Queen St Ter,Queen St,Rochor Canal
1112,Rochor,103.8552003,1.300092128,Opp Bugis Junction,Victoria St,Victoria
1113,Downtown Core,103.856114,1.301172975,Bugis Stn Exit A,Victoria St,Bugis
1119,Downtown Core,103.8551293,1.299604109,Bugis Junction,Victoria St,Bugis
1121,Rochor,103.85868,1.303938097,Stamford Pr Sch,Victoria St,Rochor Canal
1129,Rochor,103.8586453,1.303502692,Opp Stamford Pr Sch,Victoria St,Kampong Glam
1139,Downtown Core,103.8571608,1.300330579,Parkview Sq,Nth Bridge Rd,Bugis
1211,Kallang,103.860545,1.305518035,Opp Blk 461,Victoria St,Crawford
1219,Kallang,103.8607202,1.305265985,Blk 461,Victoria St,Crawford
1229,Rochor,103.8596309,1.303375526,Bef Sultan Mque,Nth Bridge Rd,Kampong Glam
1231,Rochor,103.8610831,1.30325,Opp Textile Ctr,Jln Sultan,Kampong Glam
1239,Kallang,103.8616182,1.302912366,Sultan Plaza,Jln Sultan,Crawford
1311,Kallang,103.862197,1.307091646,Lavender Stn Exit B,Kallang Rd,Lavender
1319,Kallang,103.863256,1.307574267,Lavender Stn Exit A/ICA,Kallang Rd,Lavender
1329,Kallang,103.8636303,1.304956702,Blk 8,Nth Bridge Rd,Crawford
1339,Kallang,103.8642627,1.307746017,Bef Crawford Bridge,Crawford St,Kampong Bugis
1341,Kallang,103.8645253,1.306475556,Southbank,Crawford St,Crawford
1349,Kallang,103.8654399,1.305686357,Opp Blk 4,Crawford St,Kampong Bugis
1411,Kallang,103.862956,1.302113329,Opp St. John HQ,Beach Rd,Crawford
1419,Kallang,103.8632633,1.30202,St. John HQ,Beach Rd,Crawford
1421,Kallang,103.8648389,1.303384444,Opp Golden Mile Cplx,Beach Rd,Crawford
1429,Kallang,103.8650158,1.303213609,Golden Mile Cplx,Beach Rd,Crawford
1511,Downtown Core,103.8586452,1.299198261,Opp The Gateway,Beach Rd,Bugis
1519,Downtown Core,103.8589103,1.299074925,The Gateway,Beach Rd,City Hall
1521,Rochor,103.860661,1.300883044,Opp Plaza Parkroyal,Beach Rd,Kampong Glam
1529,Rochor,103.8604412,1.300416677,Plaza Parkroyal,Beach Rd,Crawford
1541,Downtown Core,103.8573458,1.298864654,Bugis Stn Exit D,Rochor Rd,Bugis
1549,Rochor,103.8587312,1.300698689,Opp Duo Residences,Ophir Rd,Kampong Glam
1559,Rochor,103.8575292,1.301687311,Landmark Village Hotel,Ophir Rd,Kampong Glam
1611,Downtown Core,103.8553369,1.295272592,Aft Raffles Hotel,Beach Rd,City Hall
1619,Downtown Core,103.8550381,1.294286942,Esplanade Stn Exit F,Beach Rd,City Hall
1621,Downtown Core,103.8565561,1.296958889,Opp Shaw Twrs,Beach Rd,Bugis
1629,Downtown Core,103.8568653,1.296959722,Shaw Twrs,Beach Rd,City Hall
1631,Downtown Core,103.8558056,1.296936146,Aft Beach Rd,Middle Rd,Bugis
1639,Downtown Core,103.8555758,1.2973875,Bef Beach Rd,Middle Rd,Bugis
2029,Downtown Core,103.8529332,1.288790151,Opp S'pore Cricket Club,Connaught Dr,City Hall
2049,Downtown Core,103.8540216,1.294520912,Raffles Hotel,Bras Basah Rd,City Hall
2051,Downtown Core,103.8590339,1.289503056,The Float @ Marina Bay,Raffles Ave,Marina Centre
2061,Downtown Core,103.8564039,1.289963889,The Esplanade,Raffles Ave,Marina Centre
2089,Downtown Core,103.8592061,1.291526944,Pan Pacific Hotel,Raffles Blvd,Marina Centre
2099,Downtown Core,103.8614856,1.291472648,Marina Ctr Ter,Raffles Blvd,Marina Centre
2101,Downtown Core,103.8618315,1.289384838,AFT S'PORE FLYER,Raffles Ave,Marina Centre
2111,Downtown Core,103.8545342,1.290955923,Esplanade Bridge,Esplanade Dr,City Hall
2119,Downtown Core,103.8553433,1.291844074,Opp War Memorial Pk,Nicoll Highway,Marina Centre
2141,Downtown Core,103.8593381,1.295765716,Suntec Twr Two,Temasek Blvd,Marina Centre
2149,Downtown Core,103.8595553,1.295604598,Suntec Twr Three,Temasek Blvd,Marina Centre
2151,Downtown Core,103.8578462,1.293177763,Suntec Convention Ctr,Temasek Blvd,Marina Centre
2159,Downtown Core,103.8584067,1.293608112,Opp Suntec Convention Ctr,Temasek Blvd,Marina Centre
2161,Downtown Core,103.8609316,1.292685535,Promenade Stn,Temasek Ave,Marina Centre
2169,Downtown Core,103.8607085,1.293338368,Promenade Stn Exit B,Temasek Ave,Marina Centre
2171,Downtown Core,103.8609219,1.2907,Opp The Ritz-Carlton,Temasek Ave,Marina Centre
2181,Downtown Core,103.8509817,1.289474444,Supreme Ct,Parliament Pl,City Hall
3011,Downtown Core,103.8534222,1.285618409,Fullerton Sq,Fullerton Rd,Clifford Pier
3019,Downtown Core,103.8531081,1.284245,OUE Bayfront,Collyer Quay,Clifford Pier
3021,Downtown Core,103.849989,1.282555246,Prudential Twr,Cecil St,Raffles Place
3031,Downtown Core,103.8508607,1.282074922,Raffles Pl Stn Exit F,Robinson Rd,Raffles Place
3041,Outram,103.8489321,1.281795094,Telok Ayer Stn Exit A,Cross St,Chinatown
3059,Downtown Core,103.851461,1.281111,One Raffles Quay,Raffles Quay,Central Subzone
3071,Downtown Core,103.8494003,1.279906096,OPP SO SOFITEL S'PORE,Robinson Rd,Cecil
3111,Downtown Core,103.8481012,1.277825954,Aft Capital Twr,Robinson Rd,Cecil
3129,Downtown Core,103.8495672,1.278070035,UIC Bldg,Shenton Way,Cecil
3151,Downtown Core,103.8477623,1.278921246,Opp GB Bldg,Cecil St,Cecil
3217,Downtown Core,103.8479444,1.275522189,Opp AXA Twr,Shenton Way,Central Subzone
3218,Downtown Core,103.8468739,1.274078889,Opp MAS Bldg,Shenton Way,Central Subzone
3222,Downtown Core,103.8448956,1.273978369,Hub Synergy Pt,Anson Rd,Anson
3223,Downtown Core,103.8463247,1.275703395,Tanjong Pagar Stn Exit C,Anson Rd,Tanjong Pagar
3239,Downtown Core,103.8475672,1.27464227,Shenton Way Ter,Shenton Way,Central Subzone
3241,Downtown Core,103.84537,1.27456,Mapletree Anson,Anson Rd,Tanjong Pagar
3331,Marina South,103.8607681,1.276633072,Bef Marina Gdns Dr,Marina Blvd,Marina South
3339,Straits View,103.8595002,1.274985164,Aft Marina Gdns Dr,Central Blvd,Straits View
3341,Marina South,103.8643377,1.2795978,Bef Gdns by the Bay,Marina Gdns Dr,Marina South
3349,Marina South,103.8647781,1.279656006,Aft Gdns by the Bay,Marina Gdns Dr,Marina South
3369,Marina South,103.8698745,1.279607721,Marina Barrage,Marina Gdns Dr,Marina South
3371,Marina South,103.8662696,1.280664793,Gdns by the Bay,Marina Gdns Dr,Marina South
3381,Downtown Core,103.8530651,1.281626013,The Sail,Marina Blvd,Central Subzone
3391,Downtown Core,103.8549801,1.280376603,Marina Bay Financial Ctr,Marina Blvd,Central Subzone
3411,Straits View,103.863009,1.271592999,Opp Marina Sth Pier,Marina Coastal Dr,Straits View
3419,Straits View,103.8629769,1.271276985,Marina Sth Pier,Marina Coastal Dr,Straits View
3421,Invalid,103.8596478,1.266940903,Marina Bay Cruise Ctr,Marina Coastal Dr,Straits View
3501,Downtown Core,103.8606111,1.285004677,Marina Bay Sands Theatre,Bayfront Ave,Bayfront Subzone
3509,Downtown Core,103.8600439,1.28315,Bayfront Stn Exit B/MBS,Bayfront Ave,Bayfront Subzone
3511,Downtown Core,103.8589706,1.281947795,Aft Bayfront Stn Exit E,Bayfront Ave,Bayfront Subzone
3519,Downtown Core,103.858848,1.281245,Bayfront Stn Exit A,Bayfront Ave,Bayfront Subzone
3529,Downtown Core,103.8527877,1.279399574,Downtown Stn,Central Blvd,Central Subzone
3539,Downtown Core,103.8556161,1.277533055,Marina Bay Stn,Central Blvd,Central Subzone
4019,Museum,103.8497561,1.298072169,OPP BENCOOLEN STN EXIT B,Bencoolen St,Bras Basah
4029,Rochor,103.8509267,1.299481667,BEF BENCOOLEN STN EXIT A,Bencoolen St,Victoria
4111,Downtown Core,103.851391,1.293954442,Capitol Bldg,Stamford Rd,City Hall
4121,Museum,103.8495803,1.296185441,SMU,Stamford Rd,Bras Basah
4142,Downtown Core,103.8496599,1.293098264,Armenian Ch,Hill St,Bras Basah
4143,Museum,103.8502061,1.294116408,Stamford Ct,Hill St,Bras Basah
4149,Downtown Core,103.8498374,1.292761324,Grand Pk City Hall,Hill St,City Hall
4151,Museum,103.8511397,1.295337778,Cath Of The Good Shepherd,Victoria St,Bras Basah
4159,Downtown Core,103.8510814,1.29489485,Aft Chijmes,Victoria St,City Hall
4167,Downtown Core,103.8514532,1.292500065,City Hall Stn Exit B,Nth Bridge Rd,City Hall
4168,Downtown Core,103.8512599,1.292082215,Aft City Hall Stn Exit B,Nth Bridge Rd,City Hall
4179,Museum,103.8514716,1.296479163,AFT BRAS BASAH STN EXIT A,Bras Basah Rd,Bras Basah
4211,Singapore River,103.8471244,1.290436111,Clarke Quay,River Valley Rd,Clarke Quay
4219,Museum,103.8468678,1.290968028,Opp Clarke Quay,River Valley Rd,Fort Canning
4222,Singapore River,103.8470898,1.288989622,Clarke Quay Stn Exit E,Eu Tong Sen St,Clarke Quay
4223,Downtown Core,103.848579,1.290844761,Old Hill St Police Stn,Hill St,Fort Canning
4229,Downtown Core,103.8487512,1.290448308,High St Ctr,Hill St,City Hall
4239,Singapore River,103.8474938,1.288827179,Opp Clarke Quay Stn,New Bridge Rd,Boat Quay
4249,Downtown Core,103.8502622,1.290430394,Opp The Treasury,Nth Bridge Rd,City Hall
4251,Downtown Core,103.8488847,1.289738333,Opp High St Ctr,Nth Boat Quay,City Hall
4311,Museum,103.8439214,1.294645753,Aft River Valley Rd,Clemenceau Ave,Fort Canning
4321,Singapore River,103.8430365,1.292140008,Shell HSE,Clemenceau Ave,Robertson Quay
4329,Singapore River,103.8432838,1.291970571,Opp Shell HSE,Clemenceau Ave,Clarke Quay
4331,Singapore River,103.8450409,1.291839394,BEF FORT CANNING STN,River Valley Rd,Clarke Quay
4339,Museum,103.845005,1.292211,FORT CANNING STN EXIT B,River Valley Rd,Fort Canning
5009,Singapore River,103.8492364,1.285925541,Opp OCBC Ctr,Nth Canal Rd,Boat Quay
5012,Outram,103.8408772,1.281545833,Bef Pearl'S Hill Terr,Eu Tong Sen St,People's Park
5013,Outram,103.8429987,1.284069799,Chinatown Stn Exit C,Eu Tong Sen St,People's Park
5019,Outram,103.84105,1.281183889,Aft Duxton Plain Pk ,New Bridge Rd,Chinatown
5022,Outram,103.844372,1.285710899,Aft Chinatown Stn Exit D,Eu Tong Sen St,Pearl's Hill
5023,Singapore River,103.8454038,1.286929284,Opp Hong Lim Pk,Eu Tong Sen St,Clarke Quay
5029,Singapore River,103.8481978,1.287122834,Boat Quay,Sth Bridge Rd,Boat Quay
5039,Outram,103.8425428,1.282938191,New Bridge Ctr,New Bridge Rd,Chinatown
5049,Outram,103.8445507,1.285311148,Chinatown Pt,New Bridge Rd,China Square
5059,Singapore River,103.8457504,1.286764201,Hong Lim Pk,New Bridge Rd,Boat Quay
5069,Outram,103.8402979,1.2802763,Outram Pk Stn Exit H,New Bridge Rd,Chinatown
5129,Outram,103.8463467,1.286011667,Hong Lim Pk,Upp Pickering St,Boat Quay
5131,Outram,103.8453381,1.284073056,Opp Hong Lim Cplx,Upp Cross St,Chinatown
5189,Outram,103.8452806,1.282091396,Opp Sri Mariamman Tp,Sth Bridge Rd,Chinatown
5199,Outram,103.8466605,1.284514558,Opp Hong Lim Cplx,Sth Bridge Rd,China Square
5239,Outram,103.8415105,1.27854113,Bef The Pinnacle@Duxton,Neil Rd,Chinatown
5241,Outram,103.8422749,1.280719882,Opp Blk 333,Kreta Ayer Rd,Chinatown
5259,Outram,103.8426271,1.279794478,Aft Kreta Ayer Rd,Neil Rd,Chinatown
5269,Downtown Core,103.8446005,1.280977473,Maxwell Rd FC,Sth Bridge Rd,Maxwell
5271,Outram,103.8438221,1.279753295,Opp Fairfield Meth Ch,Tg Pagar Rd,Chinatown
5319,Downtown Core,103.849114,1.284437,OCBC Ctr,Church St,Phillip
5411,Outram,103.8430919,1.275191657,Tg Pagar Plaza,Tg Pagar Rd,Chinatown
5419,Outram,103.8431868,1.274706695,The Amara,Tg Pagar Rd,Anson
5421,Outram,103.8434635,1.277774706,Aft Craig Rd,Tg Pagar Rd,Chinatown
5429,Outram,103.8437065,1.277694131,Bef Craig Rd,Tg Pagar Rd,Chinatown
5431,Downtown Core,103.8420461,1.27408,TOWER 15,Hoe Chiang Rd,Anson
5519,Outram,103.8411269,1.275534722,Opp Maritime Hse,Cantonment Rd,Chinatown
5521,Outram,103.8405922,1.276768611,Maritime Hse,Cantonment Rd,Everton Park
5629,Downtown Core,103.84187,1.273211389,Opp Southpoint,Cantonment Rd,Anson
5631,Bukit Merah,103.8403472,1.273460559,Blk 16,Cantonment Link,Everton Park
5641,Bukit Merah,103.8414062,1.272723931,Bef Cantonment Rd,Keppel Rd,Everton Park
5649,Bukit Merah,103.8409391,1.272384212,Opp Customs Port Br HQ,Keppel Rd,City Terminals
