"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","long.t","lat.t","BusStopCode","Description","RoadName","planning_area","combined.f"
103.8172248,1.282101559,0.136120761679385,0.986159471623952,0.000302777548181428,0.428571428571429,103.8216566,1.282923322,"10009","Bt Merah Int","Bt Merah Ctrl","Bukit Merah",-10.9579600821396
103.8172248,1.282101559,0.136120761679385,0.986159471623952,0.000302777548181428,0.428571428571429,103.8185725,1.281158351,"10009","Bt Merah Int","Bt Merah Ctrl","Bukit Merah",-10.9579600821396
103.8172248,1.282101559,0.136120761679385,0.986159471623952,0.000302777548181428,0.428571428571429,103.820593,1.284846396,"10009","Bt Merah Int","Bt Merah Ctrl","Bukit Merah",-10.9579600821396
103.8172248,1.282101559,0.136120761679385,0.986159471623952,0.000302777548181428,0.428571428571429,103.8147283,1.283623333,"10009","Bt Merah Int","Bt Merah Ctrl","Bukit Merah",-10.9579600821396
103.8374971,1.277738059,0,0.991405585962963,0,0.142857142857143,103.8351907,1.276058348,"10011","BEF NEIL RD","New Bridge Rd","Bukit Merah",-Inf
103.8374971,1.277738059,0,0.991405585962963,0,0.142857142857143,103.83401,1.275854004,"10011","BEF NEIL RD","New Bridge Rd","Bukit Merah",-Inf
103.8376257,1.278320466,0.00214854717396243,0,5.38669040272732e-05,0,103.8386036,1.279008197,"10017","Aft Hosp Dr","Eu Tong Sen St","Bukit Merah",-Inf
103.8383889,1.277448379,0,0.991404939530995,0,0,103.8351907,1.276058348,"10021","Blk 3","Neil Rd","Bukit Merah",-Inf
103.8351907,1.276058348,0.00446008758181167,0.991077262795437,0,0.285714285714286,103.8321441,1.277411635,"10041","BEF KAMPONG BAHRU TER","Kg Bahru Rd","Bukit Merah",-Inf
103.8351907,1.276058348,0.00446008758181167,0.991077262795437,0,0.285714285714286,103.8301945,1.275881663,"10041","BEF KAMPONG BAHRU TER","Kg Bahru Rd","Bukit Merah",-Inf
103.8351907,1.276058348,0.00446008758181167,0.991077262795437,0,0.285714285714286,103.83401,1.275854004,"10041","BEF KAMPONG BAHRU TER","Kg Bahru Rd","Bukit Merah",-Inf
103.8348379,1.276233024,0.00428968556456637,0.000135476161476544,7.91714014865312e-05,0,103.8376257,1.278320466,"10049","OPP KAMPONG BAHRU TER","Kg Bahru Rd","Bukit Merah",-Inf
103.8321441,1.277411635,0.00545842113936835,0.987446201241391,0,0,103.8294864,1.278604722,"10051","Blk 149","Jln Bt Merah","Bukit Merah",-Inf
103.8327518,1.277396642,0.00561948808958195,0.000270979192468715,7.62965059310499e-05,0,103.8348379,1.276233024,"10059","Opp Blk 149","Jln Bt Merah","Bukit Merah",-Inf
103.8294864,1.278604722,0.00768327878192324,0.987119107447772,5.01496161332307e-17,0,103.8263892,1.280453094,"10061","Blk 140","Jln Bt Merah","Bukit Merah",-Inf
103.8300825,1.278554722,0.00776062648018589,0.000406509092960563,0.000112137525112715,0,103.8327518,1.277396642,"10069","Opp Blk 140","Jln Bt Merah","Bukit Merah",-Inf
103.8263892,1.280453094,0.00990665466780643,0.986791981023735,9.11997628939906e-17,0,103.8252807,1.281058454,"10071","Blk 111","Jln Bt Merah","Bukit Merah",-Inf
103.8270891,1.280395014,0.00990028311411813,0.000542065862929795,0.000164815208573049,0,103.8300825,1.278554722,"10079","Blk 201","Jln Bt Merah","Bukit Merah",-Inf
103.8224174,1.282278354,0.0551561077290977,0.986137630738833,0.000112839112458934,0.142857142857143,103.8172248,1.282101559,"10081","Opp Blk 120","Jln Bt Merah","Bukit Merah",-13.9470048274257
103.8224174,1.282278354,0.0551561077290977,0.986137630738833,0.000112839112458934,0.142857142857143,103.8178396,1.283941086,"10081","Opp Blk 120","Jln Bt Merah","Bukit Merah",-13.9470048274257
103.8216566,1.282923322,0.0455838484981772,0.983207471967235,0.000242238741667211,0.285714285714286,103.8270891,1.280395014,"10089","Blk 119","Jln Bt Merah","Bukit Merah",-12.6834866967193
103.8216566,1.282923322,0.0455838484981772,0.983207471967235,0.000242238741667211,0.285714285714286,103.8238734,1.280374712,"10089","Blk 119","Jln Bt Merah","Bukit Merah",-12.6834866967193
103.8216566,1.282923322,0.0455838484981772,0.983207471967235,0.000242238741667211,0.285714285714286,103.8245027,1.283650723,"10089","Blk 119","Jln Bt Merah","Bukit Merah",-12.6834866967193
103.8178396,1.283941086,0.0531129504984098,0.986461930286832,7.67738542859075e-05,0,103.8137833,1.285061952,"10091","Bt Merah Town Ctr","Jln Bt Merah","Bukit Merah",-Inf
103.8176572,1.284209239,0.0228284125071291,0.982729601763989,5.3255177636024e-05,0,103.8216566,1.282923322,"10099","Opp Bt Merah Town Ctr","Jln Bt Merah","Bukit Merah",-Inf
103.8137833,1.285061952,0.117995494240119,0.986942266437094,0.000192397893908935,0,103.8093541,1.285928351,"10101","OPP BT MERAH SEC SCH","Jln Bt Merah","Bukit Merah",-Inf
103.8137053,1.285353157,0.022745434133514,0.982252005622497,7.82723107262203e-05,0,103.8176572,1.284209239,"10109","BT MERAH SEC SCH","Jln Bt Merah","Bukit Merah",-Inf
103.8093541,1.285928351,0.118078472613734,0.987423522464446,0.000130904325193473,0,103.8068655,1.286191414,"10111","Opp Blk 28","Jln Bt Merah","Bukit Merah",-Inf
103.8112252,1.28598009,0.109541109286243,0.985202863046881,0.000115041483257654,0.142857142857143,103.8137053,1.285353157,"10119","Opp Pacific Tech Ctr","Jln Bt Merah","Bukit Merah",-13.2424909993146
103.8112252,1.28598009,0.109541109286243,0.985202863046881,0.000115041483257654,0.142857142857143,103.8154767,1.28329993,"10119","Opp Pacific Tech Ctr","Jln Bt Merah","Bukit Merah",-13.2424909993146
103.8068655,1.286191414,0.118161450987349,0.9879050559887,8.90651243949761e-05,0.142857142857143,103.8022869,1.289418056,"10131","Opp Blk 2","Jln Bt Merah","Bukit Merah",-13.4199249141112
103.8068655,1.286191414,0.118161450987349,0.9879050559887,8.90651243949761e-05,0.142857142857143,103.8033413,1.286657422,"10131","Opp Blk 2","Jln Bt Merah","Bukit Merah",-13.4199249141112
103.8081,1.286351354,0.109458130912628,0.984723046021338,0.000169083329051504,0,103.8112252,1.28598009,"10139","Blk 1","Jln Bt Merah","Bukit Merah",-Inf
103.8323818,1.285838471,0,0.98860218647887,0,0,103.8285292,1.285720484,"10141","Blk 18","Tiong Bahru Rd","Bukit Merah",-Inf
103.8285292,1.285720484,0.00222782115589829,0.988274800810819,0,0,103.8266897,1.285931354,"10151","Ctrl Green Condo","Tiong Bahru Rd","Bukit Merah",-Inf
