BusStopCode,planning_area,Longitude,Latitude,subzone_name
1012,Downtown Core,103.8525359,1.296848255,Victoria
1013,Rochor,103.8532247,1.297709706,Victoria
1019,Downtown Core,103.853022,1.296989512,Bugis
1029,Downtown Core,103.8544142,1.296672985,Bugis
1039,Downtown Core,103.8554914,1.298207841,Bugis
1059,Downtown Core,103.8561104,1.300756795,Bugis
1109,Rochor,103.8565037,1.303585776,Rochor Canal
1112,Rochor,103.8552003,1.300092128,Victoria
1113,Downtown Core,103.856114,1.301172975,Bugis
1119,Downtown Core,103.8551293,1.299604109,Bugis
1121,Rochor,103.85868,1.303938097,Rochor Canal
1129,Rochor,103.8586453,1.303502692,Kampong Glam
1139,Downtown Core,103.8571608,1.300330579,Bugis
1211,Kallang,103.860545,1.305518035,Crawford
1219,Kallang,103.8607202,1.305265985,Crawford
1229,Rochor,103.8596309,1.303375526,Kampong Glam
1231,Rochor,103.8610831,1.30325,Kampong Glam
1239,Kallang,103.8616182,1.302912366,Crawford
1311,Kallang,103.862197,1.307091646,Lavender
1319,Kallang,103.863256,1.307574267,Lavender
1329,Kallang,103.8636303,1.304956702,Crawford
1339,Kallang,103.8642627,1.307746017,Kampong Bugis
1341,Kallang,103.8645253,1.306475556,Crawford
1349,Kallang,103.8654399,1.305686357,Kampong Bugis
1411,Kallang,103.862956,1.302113329,Crawford
1419,Kallang,103.8632633,1.30202,Crawford
1421,Kallang,103.8648389,1.303384444,Crawford
1429,Kallang,103.8650158,1.303213609,Crawford
1511,Downtown Core,103.8586452,1.299198261,Bugis
1519,Downtown Core,103.8589103,1.299074925,City Hall
1521,Rochor,103.860661,1.300883044,Kampong Glam
1529,Rochor,103.8604412,1.300416677,Crawford
1541,Downtown Core,103.8573458,1.298864654,Bugis
1549,Rochor,103.8587312,1.300698689,Kampong Glam
1559,Rochor,103.8575292,1.301687311,Kampong Glam
1611,Downtown Core,103.8553369,1.295272592,City Hall
1619,Downtown Core,103.8550381,1.294286942,City Hall
1621,Downtown Core,103.8565561,1.296958889,Bugis
1629,Downtown Core,103.8568653,1.296959722,City Hall
1631,Downtown Core,103.8558056,1.296936146,Bugis
1639,Downtown Core,103.8555758,1.2973875,Bugis
2029,Downtown Core,103.8529332,1.288790151,City Hall
2049,Downtown Core,103.8540216,1.294520912,City Hall
2051,Downtown Core,103.8590339,1.289503056,Marina Centre
2061,Downtown Core,103.8564039,1.289963889,Marina Centre
2089,Downtown Core,103.8592061,1.291526944,Marina Centre
2099,Downtown Core,103.8614856,1.291472648,Marina Centre
2101,Downtown Core,103.8618315,1.289384838,Marina Centre
2111,Downtown Core,103.8545342,1.290955923,City Hall
2119,Downtown Core,103.8553433,1.291844074,Marina Centre
2141,Downtown Core,103.8593381,1.295765716,Marina Centre
2149,Downtown Core,103.8595553,1.295604598,Marina Centre
2151,Downtown Core,103.8578462,1.293177763,Marina Centre
2159,Downtown Core,103.8584067,1.293608112,Marina Centre
2161,Downtown Core,103.8609316,1.292685535,Marina Centre
2169,Downtown Core,103.8607085,1.293338368,Marina Centre
2171,Downtown Core,103.8609219,1.2907,Marina Centre
2181,Downtown Core,103.8509817,1.289474444,City Hall
3011,Downtown Core,103.8534222,1.285618409,Clifford Pier
3019,Downtown Core,103.8531081,1.284245,Clifford Pier
3021,Downtown Core,103.849989,1.282555246,Raffles Place
3031,Downtown Core,103.8508607,1.282074922,Raffles Place
3041,Outram,103.8489321,1.281795094,Chinatown
3059,Downtown Core,103.851461,1.281111,Central Subzone
3071,Downtown Core,103.8494003,1.279906096,Cecil
3111,Downtown Core,103.8481012,1.277825954,Cecil
3129,Downtown Core,103.8495672,1.278070035,Cecil
3151,Downtown Core,103.8477623,1.278921246,Cecil
3217,Downtown Core,103.8479444,1.275522189,Central Subzone
3218,Downtown Core,103.8468739,1.274078889,Central Subzone
3222,Downtown Core,103.8448956,1.273978369,Anson
3223,Downtown Core,103.8463247,1.275703395,Tanjong Pagar
3239,Downtown Core,103.8475672,1.27464227,Central Subzone
3241,Downtown Core,103.84537,1.27456,Tanjong Pagar
3331,Marina South,103.8607681,1.276633072,Marina South
3339,Straits View,103.8595002,1.274985164,Straits View
3341,Marina South,103.8643377,1.2795978,Marina South
3349,Marina South,103.8647781,1.279656006,Marina South
3369,Marina South,103.8698745,1.279607721,Marina South
3371,Marina South,103.8662696,1.280664793,Marina South
3381,Downtown Core,103.8530651,1.281626013,Central Subzone
3391,Downtown Core,103.8549801,1.280376603,Central Subzone
3411,Straits View,103.863009,1.271592999,Straits View
3419,Straits View,103.8629769,1.271276985,Straits View
3421,Invalid,103.8596478,1.266940903,Straits View
3501,Downtown Core,103.8606111,1.285004677,Bayfront Subzone
3509,Downtown Core,103.8600439,1.28315,Bayfront Subzone
3511,Downtown Core,103.8589706,1.281947795,Bayfront Subzone
3519,Downtown Core,103.858848,1.281245,Bayfront Subzone
3529,Downtown Core,103.8527877,1.279399574,Central Subzone
3539,Downtown Core,103.8556161,1.277533055,Central Subzone
