,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area,X,Y
0,0,1012,Hotel Grand Pacific,1.296848255,103.8525359,Victoria St,Downtown Core,30138.71811,31024.41791
1,1,1013,St. Joseph's Ch,1.297709706,103.8532247,Victoria St,Rochor,30215.37472,31119.67332
2,2,1019,Bras Basah Cplx,1.296989512,103.853022,Victoria St,Downtown Core,30192.81663,31040.0378
3,3,1029,Opp Natl Lib,1.296672985,103.8544142,Nth Bridge Rd,Downtown Core,30347.75648,31005.03912
4,4,1039,Bugis Cube,1.298207841,103.8554914,Nth Bridge Rd,Downtown Core,30467.63786,31174.75662
5,5,1059,Bugis Stn Exit B,1.300756795,103.8561104,Victoria St,Downtown Core,30536.52452,31456.60745
6,6,1109,Queen St Ter,1.303585776,103.8565037,Queen St,Rochor,30580.2924,31769.42203
7,7,1112,Opp Bugis Junction,1.300092128,103.8552003,Victoria St,Rochor,30435.23921,31383.1111
8,8,1113,Bugis Stn Exit A,1.301172975,103.856114,Victoria St,Downtown Core,30536.92475,31502.6265
9,9,1119,Bugis Junction,1.299604109,103.8551293,Victoria St,Downtown Core,30427.33802,31329.1484
10,10,1121,Stamford Pr Sch,1.303938097,103.85868,Victoria St,Rochor,30822.49435,31808.3822
11,11,1129,Opp Stamford Pr Sch,1.303502692,103.8586453,Victoria St,Rochor,30818.63304,31760.23732
12,12,1139,Parkview Sq,1.300330579,103.8571608,Nth Bridge Rd,Downtown Core,30653.42504,31409.47976
13,13,1211,Opp Blk 461,1.305518035,103.860545,Victoria St,Kallang,31030.04994,31983.0858
14,14,1219,Blk 461,1.305265985,103.8607202,Victoria St,Kallang,31049.54839,31955.21562
15,15,1229,Bef Sultan Mque,1.303375526,103.8596309,Nth Bridge Rd,Rochor,30928.32149,31746.17708
16,16,1231,Opp Textile Ctr,1.30325,103.8610831,Jln Sultan,Rochor,31089.93828,31732.29879
17,17,1239,Sultan Plaza,1.302912366,103.8616182,Jln Sultan,Kallang,31149.49046,31694.96562
18,18,1311,Lavender Stn Exit B,1.307091646,103.862197,Kallang Rd,Kallang,31213.90034,32157.08968
19,19,1319,Lavender Stn Exit A/ICA,1.307574267,103.863256,Kallang Rd,Kallang,31331.75659,32210.45681
20,20,1329,Blk 8,1.304956702,103.8636303,Nth Bridge Rd,Kallang,31373.41619,31921.0204
21,21,1339,Bef Crawford Bridge,1.307746017,103.8642627,Crawford St,Kallang,31443.79272,32229.4494
22,22,1341,Southbank,1.306475556,103.8645253,Crawford St,Kallang,31473.0194,32088.9687
23,23,1349,Opp Blk 4,1.305686357,103.8654399,Crawford St,Kallang,31574.80705,32001.70441
24,24,1411,Opp St. John HQ,1.302113329,103.862956,Beach Rd,Kallang,31298.37649,31606.61392
25,25,1419,St. John HQ,1.30202,103.8632633,Beach Rd,Kallang,31332.57632,31596.29449
26,26,1421,Opp Golden Mile Cplx,1.303384444,103.8648389,Beach Rd,Kallang,31507.92447,31747.16984
27,27,1429,Golden Mile Cplx,1.303213609,103.8650158,Beach Rd,Kallang,31527.61206,31728.28003
28,28,1511,Opp The Gateway,1.299198261,103.8586452,Beach Rd,Downtown Core,30818.62669,31284.27547
29,29,1519,The Gateway,1.299074925,103.8589103,Beach Rd,Downtown Core,30848.13009,31270.6379
30,30,1521,Opp Plaza Parkroyal,1.300883044,103.860661,Beach Rd,Rochor,31042.96523,31470.57245
31,31,1529,Plaza Parkroyal,1.300416677,103.8604412,Beach Rd,Rochor,31018.50402,31419.00372
32,32,1541,Bugis Stn Exit D,1.298864654,103.8573458,Rochor Rd,Downtown Core,30674.01542,31247.38551
33,33,1549,Opp Duo Residences,1.300698689,103.8587312,Ophir Rd,Rochor,30828.19606,31450.18517
34,34,1559,Landmark Village Hotel,1.301687311,103.8575292,Ophir Rd,Rochor,30694.42321,31559.5006
35,35,1611,Aft Raffles Hotel,1.295272592,103.8553369,Beach Rd,Downtown Core,30450.4462,30850.19175
36,36,1619,Esplanade Stn Exit F,1.294286942,103.8550381,Beach Rd,Downtown Core,30417.19331,30741.20336
37,37,1621,Opp Shaw Twrs,1.296958889,103.8565561,Beach Rd,Downtown Core,30586.13078,31036.655
38,38,1629,Shaw Twrs,1.296959722,103.8568653,Beach Rd,Downtown Core,30620.54201,31036.74743
39,39,1631,Aft Beach Rd,1.296936146,103.8558056,Middle Rd,Downtown Core,30502.60678,31034.13944
40,40,1639,Bef Beach Rd,1.2973875,103.8555758,Middle Rd,Downtown Core,30477.03163,31084.04762
41,41,2029,Opp S'pore Cricket Club,1.288790151,103.8529332,Connaught Dr,Downtown Core,30182.94097,30133.39463
42,42,2049,Raffles Hotel,1.294520912,103.8540216,Bras Basah Rd,Downtown Core,30304.06551,30767.07361
43,43,2051,The Float @ Marina Bay,1.289503056,103.8590339,Raffles Ave,Downtown Core,30861.89639,30212.23003
44,44,2061,The Esplanade,1.289963889,103.8564039,Raffles Ave,Downtown Core,30569.19929,30263.18376
45,45,2089,Pan Pacific Hotel,1.291526944,103.8592061,Raffles Blvd,Downtown Core,30881.05852,30436.02134
46,46,2099,Marina Ctr Ter,1.291472648,103.8614856,Raffles Blvd,Downtown Core,31134.74736,30430.02026
47,47,2101,AFT S'PORE FLYER,1.289384838,103.8618315,Raffles Ave,Downtown Core,31173.24564,30199.1614
48,48,2111,Esplanade Bridge,1.290955923,103.8545342,Esplanade Dr,Downtown Core,30361.11671,30372.87596
49,49,2119,Opp War Memorial Pk,1.291844074,103.8553433,Nicoll Highway,Downtown Core,30451.16175,30471.08389
50,50,2141,Suntec Twr Two,1.295765716,103.8593381,Temasek Blvd,Downtown Core,30895.74418,30904.72308
51,51,2149,Suntec Twr Three,1.295604598,103.8595553,Temasek Blvd,Downtown Core,30919.91682,30886.90773
52,52,2151,Suntec Convention Ctr,1.293177763,103.8578462,Temasek Blvd,Downtown Core,30729.71156,30618.5589
53,53,2159,Opp Suntec Convention Ctr,1.293608112,103.8584067,Temasek Blvd,Downtown Core,30792.08989,30666.14529
54,54,2161,Promenade Stn,1.292685535,103.8609316,Temasek Ave,Downtown Core,31073.09045,30564.13439
