,0
0,75009
1,76059
2,76069
3,96289
4,96109
5,85079
6,85089
7,85069
8,85059
9,85049
10,85039
11,85029
12,85019
13,94079
14,94069
15,94059
16,94049
17,94089
18,94039
19,94029
20,94019
21,93099
22,93089
23,93079
24,93069
25,93059
26,92159
27,92149
28,92139
29,92129
30,92119
31,92109
32,92099
33,92161
34,82071
35,81199
36,81189
37,81179
38,80141
39,80219
40,80169
41,80159
42,02119
43,03019
44,03059
45,03129
46,03217
47,05649
48,14061
49,14071
50,14081
51,14101
52,14141
53,14121
54,14131
55,14151
56,14161
57,14171
58,15141
59,15151
60,15161
61,15191
62,15201
63,15221
64,16201
65,16011
66,16021
67,16031
68,16041
69,16051
70,16061
71,16071
72,16081
73,16009
74,16089
75,16079
76,16069
77,16059
78,16049
79,16039
80,16029
81,16019
82,16209
83,15229
84,15219
85,15209
86,15199
87,15169
88,15159
89,15149
90,14189
91,14179
92,14169
93,14159
94,14139
95,14129
96,14119
97,14109
98,14089
99,14069
100,05641
101,03222
102,03111
103,03071
104,03031
105,03011
106,02111
107,80151
108,80161
109,80211
110,80149
111,81171
112,81181
113,81191
114,82079
115,92169
116,92091
117,92101
118,92111
119,92121
120,92131
121,92141
122,92151
123,93051
124,93061
125,93071
126,93081
127,93091
128,94011
129,94021
130,94031
131,94041
132,94051
133,94061
134,94071
135,85021
136,85031
137,85041
138,85051
139,85061
140,85081
141,85071
142,96101
143,96281
144,76061
145,76051
146,66009
147,62129
148,62119
149,61049
150,61039
151,70069
152,70059
153,70049
154,70039
155,70029
156,70019
157,81099
158,81089
159,80089
160,80069
161,80049
162,80039
163,80029
164,01339
165,01349
166,01429
167,01419
168,01529
169,01519
170,01629
171,01619
172,02029
173,15041
174,15051
175,18011
176,11511
177,11021
178,11031
179,11041
180,11051
181,11161
182,11171
183,11181
184,11351
185,11009
186,11359
187,11189
188,11179
189,11169
190,11059
191,11049
192,11039
193,11029
194,11519
195,18019
196,15059
197,15049
198,01611
199,01621
200,01511
201,01521
202,01411
203,01421
204,01341
205,80011
206,80031
207,80051
208,80071
209,80091
210,81081
211,81091
212,70011
213,70021
214,70031
215,70041
216,70051
217,70061
218,61031
219,61041
220,62111
221,62121
222,62131
223,62141
224,63011
225,63021
226,63031
227,63041
228,63051
229,63061
230,64011
231,64541
232,64551
233,64529
234,64339
235,64341
236,64351
237,64431
238,64441
239,64461
240,66499
241,66541
242,66551
243,66561
244,66571
245,66581
246,66549
247,66491
248,64619
249,64561
250,64359
251,64349
252,64331
253,64521
254,64559
255,64549
256,64019
257,63069
258,63059
259,63049
260,63039
261,63029
262,63019
263,62149
264,62189
265,64009
266,64041
267,64051
268,64061
269,64401
270,67739
271,67729
272,67719
273,67609
274,67619
275,67341
276,67199
277,67189
278,67409
279,67399
280,67389
281,67549
282,67559
283,67569
284,67579
285,68031
286,68051
287,68111
288,68099
289,68209
290,68239
291,68201
292,68091
293,68119
294,68059
295,68049
296,68039
297,67571
298,67561
299,67551
300,67541
301,67381
302,67391
303,67401
304,67181
305,67191
306,67349
307,67611
308,67601
309,67711
310,67721
311,67731
312,64409
313,64069
314,64059
315,64049
316,63141
317,63361
318,63181
319,63191
320,63201
321,63211
322,64101
323,64111
324,64121
325,67079
326,67069
327,67059
328,67049
329,67081
330,68011
331,68021
332,68061
333,68081
334,68101
335,68121
336,68161
337,68131
338,68141
339,68151
340,68171
341,59779
342,59789
343,59461
344,59459
345,59709
346,59349
347,58991
348,59009
349,59069
350,59341
351,59701
352,59651
353,59451
354,59469
355,59781
356,59771
357,68179
358,68159
359,68149
360,68139
361,68169
362,68129
363,68109
364,68089
365,68069
366,68029
367,68019
368,67089
369,67041
370,67051
371,67061
372,67071
373,64129
374,64119
375,64109
376,63219
377,63209
378,63199
379,63189
380,63179
381,63369
382,63149
383,66419
384,66409
385,66399
386,66029
387,66019
388,52069
389,52059
390,52361
391,52279
392,52239
393,52189
394,52079
395,51099
396,40249
397,40239
398,40229
399,40219
400,40209
401,40199
402,09219
403,09111
404,09121
405,09131
406,09141
407,13011
408,13021
409,11201
410,11211
411,11221
412,11089
413,11079
414,11069
415,11191
416,19011
417,19021
418,19031
419,19041
420,17151
421,17161
422,17171
423,17181
424,20101
425,28011
426,28021
427,28031
428,28041
429,28659
430,28649
431,28639
432,28319
433,28449
434,28009
435,28441
436,28311
437,28631
438,28641
439,28651
440,28049
441,28039
442,28029
443,28019
444,20109
445,17189
446,17179
447,17169
448,17159
449,19049
450,19039
451,19029
452,19019
453,11199
454,11061
455,11071
456,11081
457,11229
458,11219
459,11209
460,13029
461,13019
462,09149
463,09159
464,09169
465,09179
466,09213
467,40191
468,40201
469,40211
470,40221
471,40231
472,51091
473,51101
474,52071
475,52181
476,52231
477,52271
478,52369
479,52051
480,52061
481,66011
482,66021
483,66391
484,66401
485,66411
486,66389
487,43009
488,43179
489,43189
490,43619
491,43629
492,42319
493,28109
494,28189
495,11401
496,11239
497,09048
498,09038
499,08138
500,08057
501,08069
502,04179
503,02049
504,02151
505,02161
506,02171
507,03509
508,03519
509,03539
510,03529
511,03218
512,03239
513,03381
514,03391
515,03511
516,03501
517,02051
518,02061
519,04111
520,04121
521,08041
522,08031
523,08111
524,08121
525,09059
526,09022
527,11231
528,11419
529,11409
530,28181
531,28101
532,42311
533,43621
534,43611
535,43181
536,43171
537,64391
538,63351
539,63341
540,62139
541,61029
542,61019
543,60269
544,60209
545,60179
546,60221
547,60039
548,60029
549,60019
550,07369
551,07379
552,01319
553,01219
554,01239
555,01231
556,01211
557,01311
558,07371
559,60011
560,60021
561,60031
562,60229
563,60159
564,60161
565,60201
566,60261
567,61011
568,61021
569,63349
570,63359
571,64399
572,02089
573,02169
574,02141
575,66361
576,66041
577,66051
578,64491
579,64481
580,64471
581,64601
582,64611
583,64469
584,64629
585,67459
586,67469
587,67279
588,67449
589,67419
590,67599
591,65199
592,77339
593,77289
594,77239
595,77249
596,78049
597,77019
598,77029
599,77039
600,77049
601,77059
602,78069
603,78059
604,98111
605,98109
606,98031
607,98041
608,98231
609,98051
610,98061
611,98071
612,99011
613,99021
614,99031
615,99041
616,99139
617,99009
618,99131
619,99049
620,99039
621,99029
622,99019
623,98079
624,98069
625,98059
626,98239
627,98049
628,98039
629,98101
630,98119
631,78051
632,78061
633,77051
634,77041
635,77031
636,77021
637,77011
638,77241
639,77231
640,77281
641,77331
642,65191
643,67591
644,67411
645,67441
646,67271
647,67461
648,67451
649,64621
650,64609
651,64479
652,64489
653,64499
654,66059
655,66049
656,66369
657,80009
658,80119
659,80189
660,80179
661,80199
662,80191
663,90039
664,90029
665,90019
666,90079
667,90011
668,90021
669,90031
670,80171
671,80181
672,80111
673,67759
674,67359
675,67369
676,67379
677,67761
678,67319
679,67429
680,95151
681,95011
682,95109
683,95029
684,95129
685,95019
686,95209
687,95159
688,67421
689,67311
690,67769
691,67371
692,67361
693,67351
694,11159
695,11149
696,11139
697,10299
698,10289
699,10321
700,13031
701,13041
702,13201
703,13209
704,13049
705,13039
706,10329
707,10281
708,10291
709,11131
710,11141
711,11151
712,64329
713,64319
714,64309
715,64239
716,64209
717,63139
718,63239
719,63229
720,63339
721,63329
722,63391
723,63381
724,63371
725,64411
726,64509
727,64519
728,64419
729,63379
730,63389
731,63399
732,63321
733,63331
734,63221
735,63231
736,63131
737,64201
738,64231
739,64301
740,64311
741,64321
742,64071
743,64039
744,64371
745,64381
746,63261
747,63271
748,63281
749,63291
750,63301
751,62221
752,62219
753,62059
754,62229
755,63309
756,63299
757,63289
758,63279
759,63269
760,64389
761,64379
762,64031
763,64079
764,63099
765,63089
766,63079
767,63241
768,66439
769,66429
770,66101
771,66379
772,66359
773,66109
774,66421
775,66431
776,65009
777,65259
778,65409
779,65141
780,65431
781,59479
782,59759
783,59749
784,59739
785,59509
786,59729
787,59031
788,59041
789,59051
790,59061
791,59079
792,59091
793,59251
794,59521
795,58549
796,58261
797,58339
798,58211
799,58251
800,58009
801,58259
802,58219
803,58331
804,58269
805,58541
806,59529
807,59259
808,59099
809,59073
810,59059
811,59049
812,59039
813,59721
814,59501
815,59731
816,59741
817,59751
818,59471
819,65439
820,65149
821,65401
822,75359
823,75369
824,75319
825,75299
826,75379
827,75171
828,75159
829,75039
830,75241
831,75231
832,75221
833,75051
834,96119
835,96229
836,96311
837,96301
838,96401
839,97009
840,96361
841,96309
842,96319
843,96221
844,96111
845,75059
846,75229
847,75239
848,75249
849,75031
850,75151
851,75179
852,75371
853,75291
854,75311
855,75361
856,75351
857,65341
858,65331
859,67101
860,67111
861,67121
862,67131
863,67141
864,67151
865,67161
866,65019
867,64029
868,64021
869,65011
870,67169
871,67159
872,67139
873,67129
874,67119
875,67109
876,65339
877,65349
878,77009
879,78109
880,78081
881,78071
882,98099
883,98019
884,76249
885,76239
886,76039
887,76109
888,96129
889,96189
890,96199
891,96209
892,95909
893,96039
894,96029
895,96019
896,85109
897,85099
898,84101
899,84071
900,84081
901,84141
902,84111
903,84151
904,91079
905,91069
906,91059
907,91049
908,91091
909,80271
910,01129
911,01059
912,01119
913,01019
914,04159
915,04149
916,04229
917,04239
918,05059
919,05049
920,05039
921,05019
922,10011
923,10041
924,10499
925,10049
926,10017
927,05013
928,05023
929,04222
930,04142
931,01012
932,01112
933,01121
934,80279
935,91099
936,91041
937,91051
938,91061
939,91071
940,84159
941,84119
942,84149
943,84089
944,84079
945,84109
946,85091
947,85101
948,96011
949,96021
950,96031
951,95901
952,96201
953,96191
954,96181
955,96121
956,76101
957,76031
958,76231
959,76241
960,98011
961,98091
962,78079
963,78089
964,78101
965,10051
966,10061
967,10071
968,10371
969,10171
970,10181
971,10191
972,10201
973,11539
974,11529
975,14041
976,14349
977,14339
978,14329
979,14491
980,14501
981,14391
982,14331
983,14341
984,14049
985,11521
986,11531
987,10209
988,10199
989,10189
990,10179
991,10379
992,10079
993,10069
994,10059
995,06011
996,06051
997,06071
998,06081
999,10221
1000,10231
1001,10389
1002,10169
1003,10121
1004,10501
1005,10369
1006,14039
1007,14291
1008,14269
1009,14259
1010,14279
1011,14319
1012,14489
1013,14309
1014,14379
1015,14031
1016,10361
1017,10129
1018,10151
1019,10161
1020,10381
1021,10239
1022,10229
1023,06069
1024,06049
1025,06029
1026,10141
1027,10241
1028,10261
1029,10271
1030,10479
1031,10469
1032,11499
1033,11489
1034,11479
1035,11469
1036,11439
1037,11429
1038,11471
1039,11481
1040,11491
1041,10461
1042,10471
1043,10279
1044,10269
1045,10249
1046,10149
1047,10009
1048,10659
1049,10101
1050,10111
1051,10131
1052,08137
1053,08019
1054,04329
1055,06161
1056,06151
1057,14389
1058,14381
1059,14029
1060,14019
1061,14519
1062,14521
1063,14539
1064,14529
1065,14011
1066,14021
1067,06149
1068,06159
1069,06169
1070,04321
1071,04311
1072,08011
1073,11019
1074,10139
1075,10119
1076,10651
1077,14009
1078,52499
1079,52451
1080,52129
1081,52109
1082,52099
1083,50159
1084,50211
1085,50221
1086,50129
1087,50119
1088,50069
1089,40129
1090,40189
1091,40179
1092,09047
1093,09037
1094,04167
1095,04249
1096,05029
1097,05131
1098,05069
1099,10399
1100,14221
1101,14231
1102,14271
1103,14281
1104,14059
1105,14399
1106,14509
1107,14499
1108,14359
1109,14351
1110,14051
1111,14299
1112,14239
1113,14229
1114,10391
1115,10018
1116,05012
1117,05022
1118,04223
1119,04143
1120,09011
1121,09023
1122,09212
1123,40171
1124,40181
1125,40121
1126,50061
1127,50111
1128,50121
1129,50229
1130,50991
1131,50231
1132,50241
1133,60101
1134,60121
1135,60141
1136,60211
1137,70361
1138,70341
1139,70321
1140,70311
1141,80239
1142,80229
1143,80269
1144,70319
1145,70329
1146,70349
1147,70359
1148,60219
1149,60139
1150,60119
1151,60099
1152,07329
1153,07231
1154,07211
1155,07221
1156,50249
1157,50239
1158,76529
1159,76519
1160,75271
1161,75281
1162,75381
1163,75391
1164,74011
1165,74021
1166,74031
1167,74041
1168,75289
1169,75279
1170,76511
