,Operator,ServiceNo,time_extracted,BusStopCode,OriginCode_NextBus1,DestinationCode_NextBus1,EstimatedArrival_NextBus1,Latitude_NextBus1,Longitude_NextBus1,VisitNumber_NextBus1,Load_NextBus1,Feature_NextBus1,Type_NextBus1
0,SBST,127A,2020-02-23 23:59:24,75009,75009,75281,2020-02-24T00:25:00+08:00,0,0,1,SEA,WAB,SD
1,SBST,28,2020-02-23 23:59:24,75009,75009,52009,2020-02-24T00:01:00+08:00,0,0,1,SEA,WAB,SD
2,SBST,291,2020-02-23 23:59:24,75009,75009,75009,2020-02-23T23:59:53+08:00,1.3553071666666667,103.94247883333334,2,SEA,WAB,SD
3,SBST,292,2020-02-23 23:59:24,75009,75009,75009,2020-02-24T00:06:00+08:00,0,0,1,SEA,WAB,SD
4,SBST,293,2020-02-23 23:59:24,75009,75009,75009,2020-02-24T00:00:37+08:00,1.3540636666666668,103.9423255,2,SEA,WAB,SD
5,SBST,38,2020-02-23 23:59:24,75009,75009,84009,2020-02-24T00:04:00+08:00,0,0,1,SEA,WAB,SD
6,GAS,3A,2020-02-23 23:59:24,75009,75009,77331,2020-02-24T00:07:00+08:00,0,0,1,SEA,WAB,SD
7,GAS,68,2020-02-23 23:59:24,75009,77009,77009,2020-02-24T00:14:27+08:00,1.3785061666666667,103.93606666666666,1,SEA,WAB,DD
8,SBST,292,2020-02-23 23:59:24,76059,75009,75009,2020-02-24T00:07:54+08:00,0,0,1,SEA,WAB,SD
9,SBST,293,2020-02-23 23:59:24,76059,75009,75009,2020-02-24T00:02:40+08:00,0,0,1,SEA,WAB,SD
10,GAS,34,2020-02-23 23:59:24,76059,65009,65009,2020-02-24T00:11:04+08:00,1.3779328333333334,103.9263925,1,SEA,WAB,SD
11,GAS,3A,2020-02-23 23:59:24,76059,75009,77331,2020-02-24T00:20:46+08:00,0,0,1,SEA,WAB,SD
12,SBST,168,2020-02-23 23:59:24,76069,46009,84009,2020-02-24T00:06:04+08:00,1.3605043333333333,103.93579933333334,1,SEA,WAB,DD
13,SBST,21,2020-02-23 23:59:24,76069,77009,52499,2020-02-24T00:07:47+08:00,1.3618906666666666,103.96294983333334,1,SEA,WAB,DD
14,SBST,27,2020-02-23 23:59:24,76069,64009,64009,2020-02-24T00:01:06+08:00,1.3567003333333334,103.946074,1,SEA,WAB,SD
15,SBST,292,2020-02-23 23:59:24,76069,75009,75009,2020-02-24T00:10:09+08:00,0,0,1,SEA,WAB,SD
16,GAS,34,2020-02-23 23:59:24,76069,65009,65009,2020-02-23T23:58:35+08:00,1.351955,103.94157183333333,1,SEA,WAB,SD
17,GAS,118,2020-02-23 23:59:24,96289,65009,97009,2020-02-24T00:05:39+08:00,1.3505425,103.92945516666667,1,SEA,WAB,DD
18,GAS,17,2020-02-23 23:59:24,96289,77009,84009,2020-02-24T00:09:15+08:00,1.3637361666666665,103.964016,1,SEA,WAB,DD
19,SBST,5,2020-02-23 23:59:24,96289,10009,77009,2020-02-23T23:59:26+08:00,1.3462325,103.94275866666666,1,SEA,WAB,SD
20,GAS,118,2020-02-23 23:59:24,96109,65009,97009,2020-02-24T00:06:44+08:00,1.3505425,103.92945516666667,1,SEA,WAB,DD
21,GAS,17,2020-02-23 23:59:24,96109,77009,84009,2020-02-23T23:58:43+08:00,1.3388628333333332,103.9492555,1,SEA,WAB,DD
