,Operator,ServiceNo,time_extracted,BusStopCode,OriginCode_NextBus1,DestinationCode_NextBus1,EstimatedArrival_NextBus1,Latitude_NextBus1,Longitude_NextBus1,VisitNumber_NextBus1,Load_NextBus1,Feature_NextBus1,Type_NextBus1
0,SBST,127,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:30:00+08:00,0,0,1,SEA,WAB,SD
1,SBST,127A,2020-02-23 23:17:05,75009,75009,75281,2020-02-23T23:45:00+08:00,0,0,1,SEA,WAB,SD
2,SBST,20,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:31:00+08:00,0,0,1,SEA,WAB,SD
3,SBST,22,2020-02-23 23:17:05,75009,75009,54009,2020-02-23T23:30:00+08:00,0,0,1,SEA,WAB,SD
4,SBST,23,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:26:00+08:00,0,0,1,SEA,WAB,DD
5,SBST,28,2020-02-23 23:17:05,75009,75009,52009,2020-02-23T23:16:00+08:00,0,0,1,SEA,WAB,DD
6,SBST,29,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:20:00+08:00,0,0,1,SEA,WAB,SD
7,SBST,291,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:15:16+08:00,1.3546065,103.9436525,2,SEA,WAB,SD
8,SBST,292,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:24:00+08:00,0,0,1,SEA,WAB,SD
9,SBST,293,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:26:00+08:00,0,0,1,SEA,WAB,SD
10,GAS,3,2020-02-23 23:17:05,75009,75009,65009,2020-02-23T23:23:00+08:00,0,0,1,SEA,WAB,SD
11,SBST,31,2020-02-23 23:17:05,75009,75009,52009,2020-02-23T23:18:00+08:00,0,0,1,SEA,WAB,SD
12,SBST,38,2020-02-23 23:17:05,75009,75009,84009,2020-02-23T23:16:00+08:00,0,0,1,SEA,WAB,SD
13,GAS,3A,2020-02-23 23:17:05,75009,75009,77331,2020-02-23T23:53:00+08:00,0,0,1,SEA,WAB,SD
14,SBST,4,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:20:00+08:00,0,0,1,SEA,WAB,DD
15,SBST,46,2020-02-23 23:17:05,75009,75009,94009,2020-02-23T23:29:00+08:00,0,0,1,SEA,WAB,SD
16,SBST,65,2020-02-23 23:17:05,75009,75009,14009,2020-02-23T23:21:00+08:00,0,0,1,SEA,WAB,DD
17,SMRT,67,2020-02-23 23:17:05,75009,75009,44009,2020-02-23T23:21:00+08:00,0,0,1,SEA,WAB,DD
18,GAS,68,2020-02-23 23:17:05,75009,77009,77009,2020-02-23T23:24:02+08:00,1.3662006666666666,103.93168683333333,1,SEA,WAB,DD
19,SBST,69,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:31:00+08:00,0,0,1,SEA,WAB,SD
20,SBST,72,2020-02-23 23:17:05,75009,75009,55509,2020-02-23T23:23:00+08:00,0,0,1,SEA,WAB,DD
21,SBST,81,2020-02-23 23:17:05,75009,75009,75009,2020-02-23T23:30:00+08:00,0,0,1,SEA,WAB,DD
22,SMRT,969,2020-02-23 23:17:05,75009,75009,46009,2020-02-23T23:23:00+08:00,0,0,1,SEA,WAB,DD
23,SBST,20,2020-02-23 23:17:05,76059,75009,75009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,SD
24,SBST,22,2020-02-23 23:17:05,76059,75009,54009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,SD
25,SBST,23,2020-02-23 23:17:05,76059,75009,75009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
26,SBST,292,2020-02-23 23:17:05,76059,75009,75009,2020-02-23T23:16:39+08:00,1.3540428333333334,103.94237866666667,1,SEA,WAB,SD
27,SBST,293,2020-02-23 23:17:05,76059,75009,75009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,SD
28,GAS,3,2020-02-23 23:17:05,76059,75009,65009,2020-02-23T23:31:17+08:00,0,0,1,SEA,WAB,SD
29,SBST,31,2020-02-23 23:17:05,76059,75009,52009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,SD
30,GAS,34,2020-02-23 23:17:05,76059,65009,65009,2020-02-23T23:40:04+08:00,0,0,1,SEA,WAB,SD
31,SBST,39,2020-02-23 23:17:05,76059,75019,59009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
32,SBST,65,2020-02-23 23:17:05,76059,75009,14009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
33,SMRT,67,2020-02-23 23:17:05,76059,75009,44009,2020-02-23T23:22:18+08:00,0,0,1,SEA,WAB,DD
34,SBST,168,2020-02-23 23:17:06,76069,46009,84009,2020-02-23T23:29:32+08:00,1.376029,103.9317415,1,SEA,WAB,DD
35,SBST,20,2020-02-23 23:17:06,76069,75009,75009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,SD
36,SBST,21,2020-02-23 23:17:06,76069,77009,52499,2020-02-23T23:27:56+08:00,1.3655291666666667,103.96230533333333,1,SEA,WAB,DD
37,SBST,23,2020-02-23 23:17:06,76069,75009,75009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
38,SBST,27,2020-02-23 23:17:06,76069,64009,64009,2020-02-23T23:16:54+08:00,1.3517245,103.94457,1,SEA,WAB,SD
39,SBST,292,2020-02-23 23:17:06,76069,75009,75009,2020-02-23T23:18:26+08:00,1.3540428333333334,103.94237866666667,1,SEA,WAB,SD
40,SBST,31,2020-02-23 23:17:06,76069,75009,52009,2020-02-23T23:21:08+08:00,0,0,1,SEA,WAB,SD
41,GAS,34,2020-02-23 23:17:06,76069,65009,65009,2020-02-23T23:42:18+08:00,0,0,1,SEA,WAB,SD
42,SBST,39,2020-02-23 23:17:06,76069,75019,59009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
43,SBST,65,2020-02-23 23:17:06,76069,75009,14009,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
44,SMRT,67,2020-02-23 23:17:06,76069,75009,44009,2020-02-23T23:16:53+08:00,1.3530053333333334,103.9416535,1,SEA,WAB,DD
45,GAS,118,2020-02-23 23:17:06,96289,65009,97009,2020-02-23T23:17:46+08:00,1.3450531666666667,103.94074616666667,1,SEA,WAB,DD
46,GAS,17,2020-02-23 23:17:06,96289,77009,84009,2020-02-23T23:27:25+08:00,1.3636505,103.96412666666667,1,SEA,WAB,DD
47,SBST,31,2020-02-23 23:17:06,96289,75009,52009,2020-02-23T23:23:53+08:00,0,0,1,SEA,WAB,SD
48,SBST,5,2020-02-23 23:17:06,96289,10009,77009,2020-02-23T23:19:12+08:00,1.3449761666666666,103.94008566666666,1,SEA,WAB,SD
49,GAS,118,2020-02-23 23:17:06,96109,65009,97009,2020-02-23T23:18:58+08:00,1.3450531666666667,103.94074616666667,1,SEA,WAB,DD
50,GAS,17,2020-02-23 23:17:06,96109,77009,84009,2020-02-23T23:28:32+08:00,1.3636505,103.96412666666667,1,SEA,WAB,DD
51,SBST,31,2020-02-23 23:17:06,96109,75009,52009,2020-02-23T23:24:55+08:00,0,0,1,SEA,WAB,SD
52,SBST,9,2020-02-23 23:17:06,96109,84009,84009,2020-02-23T23:19:32+08:00,1.3451911666666667,103.9578265,1,SEA,WAB,DD
53,GAS,2,2020-02-23 23:17:06,85079,99009,10499,2020-02-23T23:21:35+08:00,1.3466296666666666,103.96310666666666,1,SEA,WAB,DD
54,SBST,48,2020-02-23 23:17:06,85079,84431,11379,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
55,SBST,9,2020-02-23 23:17:06,85079,84009,84009,2020-02-23T23:21:21+08:00,1.3451911666666667,103.9578265,1,SEA,WAB,DD
56,GAS,2,2020-02-23 23:17:06,85089,99009,10499,2020-02-23T23:21:55+08:00,1.3466296666666666,103.96310666666666,1,SEA,WAB,DD
57,SBST,48,2020-02-23 23:17:06,85089,84431,11379,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
58,SBST,9,2020-02-23 23:17:06,85089,84009,84009,2020-02-23T23:21:40+08:00,1.3451911666666667,103.9578265,1,SEA,WAB,DD
59,GAS,2,2020-02-23 23:17:06,85069,99009,10499,2020-02-23T23:22:49+08:00,1.3466296666666666,103.96310666666666,1,SEA,WAB,DD
60,SBST,48,2020-02-23 23:17:06,85069,84431,11379,2020-02-23T23:19:40+08:00,0,0,1,SEA,WAB,DD
61,SBST,9,2020-02-23 23:17:06,85069,84009,84009,2020-02-23T23:22:31+08:00,1.3451911666666667,103.9578265,1,SEA,WAB,DD
62,SBST,10,2020-02-23 23:17:06,85059,75009,16009,2020-02-23T23:15:59+08:00,1.3315883333333334,103.947485,1,SEA,WAB,SD
63,GAS,2,2020-02-23 23:17:06,85059,99009,10499,2020-02-23T23:23:41+08:00,1.3466296666666666,103.96310666666666,1,SEA,WAB,DD
64,SBST,48,2020-02-23 23:17:06,85059,84431,11379,2020-02-23T23:20:03+08:00,0,0,1,SEA,WAB,DD
65,SBST,9,2020-02-23 23:17:06,85059,84009,84009,2020-02-23T23:23:15+08:00,1.3451911666666667,103.9578265,1,SEA,WAB,DD
66,SBST,10,2020-02-23 23:17:06,85049,75009,16009,2020-02-23T23:17:30+08:00,1.3315883333333334,103.947485,1,SEA,WAB,SD
67,SBST,14,2020-02-23 23:17:06,85049,84009,17009,2020-02-23T23:26:59+08:00,1.3278598333333334,103.93453416666667,1,SEA,WAB,DD
68,SBST,45,2020-02-23 23:17:06,85049,55009,94009,2020-02-23T23:25:29+08:00,1.3311481666666667,103.93213666666666,1,SEA,WAB,SD
69,SBST,10,2020-02-23 23:17:06,85039,75009,16009,2020-02-23T23:18:02+08:00,1.3315883333333334,103.947485,1,SEA,WAB,SD
70,SBST,14,2020-02-23 23:17:06,85039,84009,17009,2020-02-23T23:27:34+08:00,1.3278598333333334,103.93453416666667,1,SEA,WAB,DD
71,SBST,45,2020-02-23 23:17:06,85039,55009,94009,2020-02-23T23:26:03+08:00,1.3311481666666667,103.93213666666666,1,SEA,WAB,SD
72,SBST,10,2020-02-23 23:17:06,85029,75009,16009,2020-02-23T23:18:31+08:00,1.3315883333333334,103.947485,1,SEA,WAB,SD
73,SBST,14,2020-02-23 23:17:06,85029,84009,17009,2020-02-23T23:28:10+08:00,1.3278598333333334,103.93453416666667,1,SEA,WAB,DD
74,SBST,45,2020-02-23 23:17:06,85029,55009,94009,2020-02-23T23:26:32+08:00,1.3311481666666667,103.93213666666666,1,SEA,WAB,SD
75,SBST,10,2020-02-23 23:17:07,85019,75009,16009,2020-02-23T23:18:57+08:00,1.3315883333333334,103.947485,1,SEA,WAB,SD
76,SBST,14,2020-02-23 23:17:07,85019,84009,17009,2020-02-23T23:15:33+08:00,1.3212786666666667,103.9553385,1,SEA,WAB,DD
