"OBJECTID","PLN_AREA_N","PLN_AREA_C","CA_IND","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
1,"BISHAN","BS","N","CENTRAL REGION","CR","BA616285F402846F","2014/12/05",28789.763,37450.8865,13517.1215562,7618920.78845
2,"BUKIT BATOK","BK","N","WEST REGION","WR","FB44C870B04B7F57","2014/12/05",19255.415,37527.6527,15234.2234234,11133256.3714
3,"BUKIT MERAH","BM","N","CENTRAL REGION","CR","738B479882E4EE28","2014/12/05",26865.7838,28662.8732,29156.293788,14462471.8881
4,"BUKIT PANJANG","BP","N","WEST REGION","WR","4A9C6E6BAF7BE998","2014/12/05",21287.0436,38761.8448,15891.8532793,9019939.8374
5,"BUKIT TIMAH","BT","N","CENTRAL REGION","CR","C893AEAD20F42559","2014/12/05",23256.7643,34689.0037,22492.8408439,17526653.8567
6,"CENTRAL WATER CATCHMENT","CC","N","NORTH REGION","NR","52D0068508B0348A","2014/12/05",24424.4183,39849.0456,30538.2461768,37147854.4563
7,"CHANGI","CH","N","EAST REGION","ER","70EAFFC7C76EA5AD","2014/12/05",46307.4764,36991.4264,31342.123623,40940490.0929
8,"CHANGI BAY","CB","N","EAST REGION","ER","ACFD43D88C72381C","2014/12/05",49502.4866,34316.5442,18731.5599659,1829821.68985
9,"CHOA CHU KANG","CK","N","WEST REGION","WR","F361929FAF5E9611","2014/12/05",18415.0527,40833.4225,11518.8052582,6117294.11291
10,"CLEMENTI","CL","N","WEST REGION","WR","8A5BEDB748EAA0AA","2014/12/05",19923.3584,33319.167,15024.8678752,9516228.02334
11,"GEYLANG","GL","N","CENTRAL REGION","CR","957AC76DACFDE12E","2014/12/05",34255.0407,33683.819,12959.116844,9643155.55636
12,"NOVENA","NV","N","CENTRAL REGION","CR","916F55DE440B0D0E","2014/12/05",28221.5058,34356.6386,14804.9003077,8968012.41928
