,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
0,0,1012,Hotel Grand Pacific,1.296848255,103.8525359,Victoria St,Downtown Core
1,1,1013,St. Joseph's Ch,1.297709706,103.8532247,Victoria St,Rochor
2,2,1019,Bras Basah Cplx,1.296989512,103.853022,Victoria St,Downtown Core
3,3,1029,Opp Natl Lib,1.296672985,103.8544142,Nth Bridge Rd,Downtown Core
4,4,1039,Bugis Cube,1.298207841,103.8554914,Nth Bridge Rd,Downtown Core
5,5,1059,Bugis Stn Exit B,1.300756795,103.8561104,Victoria St,Downtown Core
6,6,1109,Queen St Ter,1.303585776,103.8565037,Queen St,Rochor
7,7,1112,Opp Bugis Junction,1.300092128,103.8552003,Victoria St,Rochor
8,8,1113,Bugis Stn Exit A,1.301172975,103.856114,Victoria St,Downtown Core
9,9,1119,Bugis Junction,1.299604109,103.8551293,Victoria St,Downtown Core
10,10,1121,Stamford Pr Sch,1.303938097,103.85868,Victoria St,Rochor
11,11,1129,Opp Stamford Pr Sch,1.303502692,103.8586453,Victoria St,Rochor
12,12,1139,Parkview Sq,1.300330579,103.8571608,Nth Bridge Rd,Downtown Core
13,13,1211,Opp Blk 461,1.305518035,103.860545,Victoria St,Kallang
14,14,1219,Blk 461,1.305265985,103.8607202,Victoria St,Kallang
15,15,1229,Bef Sultan Mque,1.303375526,103.8596309,Nth Bridge Rd,Rochor
16,16,1231,Opp Textile Ctr,1.30325,103.8610831,Jln Sultan,Rochor
17,17,1239,Sultan Plaza,1.302912366,103.8616182,Jln Sultan,Kallang
18,18,1311,Lavender Stn Exit B,1.307091646,103.862197,Kallang Rd,Kallang
19,19,1319,Lavender Stn Exit A/ICA,1.307574267,103.863256,Kallang Rd,Kallang
20,20,1329,Blk 8,1.304956702,103.8636303,Nth Bridge Rd,Kallang
21,21,1339,Bef Crawford Bridge,1.307746017,103.8642627,Crawford St,Kallang
22,22,1341,Southbank,1.306475556,103.8645253,Crawford St,Kallang
23,23,1349,Opp Blk 4,1.305686357,103.8654399,Crawford St,Kallang
24,24,1411,Opp St. John HQ,1.302113329,103.862956,Beach Rd,Kallang
25,25,1419,St. John HQ,1.30202,103.8632633,Beach Rd,Kallang
26,26,1421,Opp Golden Mile Cplx,1.303384444,103.8648389,Beach Rd,Kallang
27,27,1429,Golden Mile Cplx,1.303213609,103.8650158,Beach Rd,Kallang
28,28,1511,Opp The Gateway,1.299198261,103.8586452,Beach Rd,Downtown Core
29,29,1519,The Gateway,1.299074925,103.8589103,Beach Rd,Downtown Core
30,30,1521,Opp Plaza Parkroyal,1.300883044,103.860661,Beach Rd,Rochor
31,31,1529,Plaza Parkroyal,1.300416677,103.8604412,Beach Rd,Rochor
32,32,1541,Bugis Stn Exit D,1.298864654,103.8573458,Rochor Rd,Downtown Core
33,33,1549,Opp Duo Residences,1.300698689,103.8587312,Ophir Rd,Rochor
34,34,1559,Landmark Village Hotel,1.301687311,103.8575292,Ophir Rd,Rochor
35,35,1611,Aft Raffles Hotel,1.295272592,103.8553369,Beach Rd,Downtown Core
36,36,1619,Esplanade Stn Exit F,1.294286942,103.8550381,Beach Rd,Downtown Core
37,37,1621,Opp Shaw Twrs,1.296958889,103.8565561,Beach Rd,Downtown Core
38,38,1629,Shaw Twrs,1.296959722,103.8568653,Beach Rd,Downtown Core
39,39,1631,Aft Beach Rd,1.296936146,103.8558056,Middle Rd,Downtown Core
40,40,1639,Bef Beach Rd,1.2973875,103.8555758,Middle Rd,Downtown Core
41,41,2029,Opp S'pore Cricket Club,1.288790151,103.8529332,Connaught Dr,Downtown Core
42,42,2049,Raffles Hotel,1.294520912,103.8540216,Bras Basah Rd,Downtown Core
43,43,2051,The Float @ Marina Bay,1.289503056,103.8590339,Raffles Ave,Downtown Core
44,44,2061,The Esplanade,1.289963889,103.8564039,Raffles Ave,Downtown Core
45,45,2089,Pan Pacific Hotel,1.291526944,103.8592061,Raffles Blvd,Downtown Core
46,46,2099,Marina Ctr Ter,1.291472648,103.8614856,Raffles Blvd,Downtown Core
47,47,2101,AFT S'PORE FLYER,1.289384838,103.8618315,Raffles Ave,Downtown Core
48,48,2111,Esplanade Bridge,1.290955923,103.8545342,Esplanade Dr,Downtown Core
49,49,2119,Opp War Memorial Pk,1.291844074,103.8553433,Nicoll Highway,Downtown Core
50,50,2141,Suntec Twr Two,1.295765716,103.8593381,Temasek Blvd,Downtown Core
51,51,2149,Suntec Twr Three,1.295604598,103.8595553,Temasek Blvd,Downtown Core
52,52,2151,Suntec Convention Ctr,1.293177763,103.8578462,Temasek Blvd,Downtown Core
53,53,2159,Opp Suntec Convention Ctr,1.293608112,103.8584067,Temasek Blvd,Downtown Core
54,54,2161,Promenade Stn,1.292685535,103.8609316,Temasek Ave,Downtown Core
55,55,2169,Promenade Stn Exit B,1.293338368,103.8607085,Temasek Ave,Downtown Core
56,56,2171,Opp The Ritz-Carlton,1.2907,103.8609219,Temasek Ave,Downtown Core
57,57,2181,Supreme Ct,1.289474444,103.8509817,Parliament Pl,Downtown Core
58,58,3011,Fullerton Sq,1.285618409,103.8534222,Fullerton Rd,Downtown Core
59,59,3019,OUE Bayfront,1.284245,103.8531081,Collyer Quay,Downtown Core
60,60,3021,Prudential Twr,1.282555246,103.849989,Cecil St,Downtown Core
61,61,3031,Raffles Pl Stn Exit F,1.282074922,103.8508607,Robinson Rd,Downtown Core
62,62,3041,Telok Ayer Stn Exit A,1.281795094,103.8489321,Cross St,Outram
63,63,3059,One Raffles Quay,1.281111,103.851461,Raffles Quay,Downtown Core
64,64,3071,OPP SO SOFITEL S'PORE,1.279906096,103.8494003,Robinson Rd,Downtown Core
65,65,3111,Aft Capital Twr,1.277825954,103.8481012,Robinson Rd,Downtown Core
66,66,3129,UIC Bldg,1.278070035,103.8495672,Shenton Way,Downtown Core
67,67,3151,Opp GB Bldg,1.278921246,103.8477623,Cecil St,Downtown Core
68,68,3217,Opp AXA Twr,1.275522189,103.8479444,Shenton Way,Downtown Core
69,69,3218,Opp MAS Bldg,1.274078889,103.8468739,Shenton Way,Downtown Core
70,70,3222,Hub Synergy Pt,1.273978369,103.8448956,Anson Rd,Downtown Core
71,71,3223,Tanjong Pagar Stn Exit C,1.275703395,103.8463247,Anson Rd,Downtown Core
72,72,3239,Shenton Way Ter,1.27464227,103.8475672,Shenton Way,Downtown Core
73,73,3241,Mapletree Anson,1.27456,103.84537,Anson Rd,Downtown Core
74,74,3331,Bef Marina Gdns Dr,1.276633072,103.8607681,Marina Blvd,Marina South
75,75,3339,Aft Marina Gdns Dr,1.274985164,103.8595002,Central Blvd,Straits View
76,76,3341,Bef Gdns by the Bay,1.2795978,103.8643377,Marina Gdns Dr,Marina South
77,77,3349,Aft Gdns by the Bay,1.279656006,103.8647781,Marina Gdns Dr,Marina South
78,78,3369,Marina Barrage,1.279607721,103.8698745,Marina Gdns Dr,Marina South
79,79,3371,Gdns by the Bay,1.280664793,103.8662696,Marina Gdns Dr,Marina South
80,80,3381,The Sail,1.281626013,103.8530651,Marina Blvd,Downtown Core
81,81,3391,Marina Bay Financial Ctr,1.280376603,103.8549801,Marina Blvd,Downtown Core
82,82,3411,Opp Marina Sth Pier,1.271592999,103.863009,Marina Coastal Dr,Straits View
83,83,3419,Marina Sth Pier,1.271276985,103.8629769,Marina Coastal Dr,Straits View
84,84,3421,Marina Bay Cruise Ctr,1.266940903,103.8596478,Marina Coastal Dr,Invalid
85,85,3501,Marina Bay Sands Theatre,1.285004677,103.8606111,Bayfront Ave,Downtown Core
86,86,3509,Bayfront Stn Exit B/MBS,1.28315,103.8600439,Bayfront Ave,Downtown Core
87,87,3511,Aft Bayfront Stn Exit E,1.281947795,103.8589706,Bayfront Ave,Downtown Core
88,88,3519,Bayfront Stn Exit A,1.281245,103.858848,Bayfront Ave,Downtown Core
89,89,3529,Downtown Stn,1.279399574,103.8527877,Central Blvd,Downtown Core
90,90,3539,Marina Bay Stn,1.277533055,103.8556161,Central Blvd,Downtown Core
91,91,4019,OPP BENCOOLEN STN EXIT B,1.298072169,103.8497561,Bencoolen St,Museum
92,92,4029,BEF BENCOOLEN STN EXIT A,1.299481667,103.8509267,Bencoolen St,Rochor
93,93,4111,Capitol Bldg,1.293954442,103.851391,Stamford Rd,Downtown Core
94,94,4121,SMU,1.296185441,103.8495803,Stamford Rd,Museum
95,95,4142,Armenian Ch,1.293098264,103.8496599,Hill St,Downtown Core
96,96,4143,Stamford Ct,1.294116408,103.8502061,Hill St,Museum
97,97,4149,Grand Pk City Hall,1.292761324,103.8498374,Hill St,Downtown Core
98,98,4151,Cath Of The Good Shepherd,1.295337778,103.8511397,Victoria St,Museum
99,99,4159,Aft Chijmes,1.29489485,103.8510814,Victoria St,Downtown Core
100,100,4167,City Hall Stn Exit B,1.292500065,103.8514532,Nth Bridge Rd,Downtown Core
101,101,4168,Aft City Hall Stn Exit B,1.292082215,103.8512599,Nth Bridge Rd,Downtown Core
102,102,4179,AFT BRAS BASAH STN EXIT A,1.296479163,103.8514716,Bras Basah Rd,Museum
103,103,4211,Clarke Quay,1.290436111,103.8471244,River Valley Rd,Singapore River
104,104,4219,Opp Clarke Quay,1.290968028,103.8468678,River Valley Rd,Museum
105,105,4222,Clarke Quay Stn Exit E,1.288989622,103.8470898,Eu Tong Sen St,Singapore River
106,106,4223,Old Hill St Police Stn,1.290844761,103.848579,Hill St,Downtown Core
107,107,4229,High St Ctr,1.290448308,103.8487512,Hill St,Downtown Core
108,108,4239,Opp Clarke Quay Stn,1.288827179,103.8474938,New Bridge Rd,Singapore River
109,109,4249,Opp The Treasury,1.290430394,103.8502622,Nth Bridge Rd,Downtown Core
110,110,4251,Opp High St Ctr,1.289738333,103.8488847,Nth Boat Quay,Downtown Core
111,111,4311,Aft River Valley Rd,1.294645753,103.8439214,Clemenceau Ave,Museum
112,112,4321,Shell HSE,1.292140008,103.8430365,Clemenceau Ave,Singapore River
113,113,4329,Opp Shell HSE,1.291970571,103.8432838,Clemenceau Ave,Singapore River
114,114,4331,BEF FORT CANNING STN,1.291839394,103.8450409,River Valley Rd,Singapore River
115,115,4339,FORT CANNING STN EXIT B,1.292211,103.845005,River Valley Rd,Museum
116,116,5009,Opp OCBC Ctr,1.285925541,103.8492364,Nth Canal Rd,Singapore River
