"","from","to"
"1","75009","76059"
"2","76059","76069"
"3","76069","96289"
"4","96289","96109"
"5","96109","85079"
"6","85079","85089"
"7","85089","85069"
"8","85069","85059"
"9","85059","85049"
"10","85049","85039"
"11","85039","85029"
"12","85029","85019"
"13","85019","94079"
"14","94079","94069"
"15","94069","94059"
"16","94059","94049"
"17","94049","94089"
"18","94089","94039"
"19","94039","94029"
"20","94029","94019"
"21","94019","93099"
"22","93099","93089"
"23","93089","93079"
"24","93079","93069"
"25","93069","93059"
"26","93059","92159"
"27","92159","92149"
"28","92149","92139"
"29","92139","92129"
"30","92129","92119"
"31","92119","92109"
"32","92109","92099"
"33","92099","92161"
"34","92161","82071"
"35","82071","81199"
"36","81199","81189"
"37","81189","81179"
"38","81179","80141"
"39","80141","80219"
"40","80219","80169"
"41","80169","80159"
"42","14061","14071"
"43","14071","14081"
"44","14081","14101"
"45","14101","14141"
"46","14141","14121"
"47","14121","14131"
"48","14131","14151"
"49","14151","14161"
"50","14161","14171"
"51","14171","15141"
"52","15141","15151"
"53","15151","15161"
"54","15161","15191"
"55","15191","15201"
"56","15201","15221"
"57","15221","16201"
"58","16201","16011"
"59","16011","16021"
"60","16021","16031"
"61","16031","16041"
"62","16041","16051"
"63","16051","16061"
"64","16061","16071"
"65","16071","16081"
"66","16081","16009"
"67","16009","16089"
"68","16089","16079"
"69","16079","16069"
"70","16069","16059"
"71","16059","16049"
"72","16049","16039"
"73","16039","16029"
"74","16029","16019"
"75","16019","16209"
"76","16209","15229"
"77","15229","15219"
"78","15219","15209"
"79","15209","15199"
"80","15199","15169"
"81","15169","15159"
"82","15159","15149"
"83","15149","14189"
"84","14189","14179"
"85","14179","14169"
"86","14169","14159"
"87","14159","14139"
"88","14139","14129"
"89","14129","14119"
"90","14119","14109"
"91","14109","14089"
"92","14089","14069"
"93","80151","80161"
"94","80161","80211"
"95","80211","80149"
"96","80149","81171"
"97","81171","81181"
"98","81181","81191"
"99","81191","82079"
"100","82079","92169"
"101","92169","92091"
"102","92091","92101"
"103","92101","92111"
"104","92111","92121"
"105","92121","92131"
"106","92131","92141"
"107","92141","92151"
"108","92151","93051"
"109","93051","93061"
"110","93061","93071"
"111","93071","93081"
"112","93081","93091"
"113","93091","94011"
"114","94011","94021"
"115","94021","94031"
"116","94031","94041"
"117","94041","94051"
"118","94051","94061"
"119","94061","94071"
"120","94071","85021"
"121","85021","85031"
"122","85031","85041"
"123","85041","85051"
"124","85051","85061"
"125","85061","85081"
"126","85081","85071"
"127","85071","96101"
"128","96101","96281"
"129","96281","76061"
"130","76061","76051"
"131","76051","75009"
"132","66009","62129"
