Row Labels,,,
Ang Mo Kio,,,
Ang Mo Kio Town Centre,"'Ang Mo Kio Town Centre', ",,"'Ang Mo Kio Town Centre', 'Cheng San', 'Chong Boon', 'Kebun Bahru', 'Sembawang Hills', 'Shangri-La', 'Tagore', 'Townsville', 'Yio Chu Kang', 'Yio Chu Kang East', 'Yio Chu Kang North', 'Yio Chu Kang West', "
Cheng San,"'Cheng San', ",,
Chong Boon,"'Chong Boon', ",,
Kebun Bahru,"'Kebun Bahru', ",,
Sembawang Hills,"'Sembawang Hills', ",,
Shangri-La,"'Shangri-La', ",,
Tagore,"'Tagore', ",,
Townsville,"'Townsville', ",,
Yio Chu Kang,"'Yio Chu Kang', ",,
Yio Chu Kang East,"'Yio Chu Kang East', ",,
Yio Chu Kang North,"'Yio Chu Kang North', ",,
Yio Chu Kang West,"'Yio Chu Kang West', ",,
Bedok,"'Bedok', ",,
Bayshore,"'Bayshore', ",,"'Bayshore', 'Bedok North', 'Bedok Reservoir', 'Bedok South', 'Frankel', 'Kaki Bukit', 'Katong', 'Kembangan', 'Siglap', "
Bedok North,"'Bedok North', ",,
Bedok Reservoir,"'Bedok Reservoir', ",,
Bedok South,"'Bedok South', ",,
Frankel,"'Frankel', ",,
Kaki Bukit,"'Kaki Bukit', ",,
Katong,"'Katong', ",,
Kembangan,"'Kembangan', ",,
Siglap,"'Siglap', ",,
Bishan,"'Bishan', ",,
Bishan East,"'Bishan East', ",,"'Bishan East', 'Marymount', 'Upper Thomson', "
Marymount,"'Marymount', ",,
Upper Thomson,"'Upper Thomson', ",,
Boon Lay,"'Boon Lay', ",,
Benoi Sector,"'Benoi Sector', ",,"'Benoi Sector', 'Jurong River', 'Liu Fang', 'Samulun', 'Shipyard', 'Taman Jurong', 'Tukang', "
Jurong River,"'Jurong River', ",,
Liu Fang,"'Liu Fang', ",,
Samulun,"'Samulun', ",,
Shipyard,"'Shipyard', ",,
Taman Jurong,"'Taman Jurong', ",,
Tukang,"'Tukang', ",,
Bukit Batok,"'Bukit Batok', ",,
Anak Bukit,"'Anak Bukit', ",,"'Anak Bukit', 'Brickworks', 'Bukit Batok Central', 'Bukit Batok East', 'Bukit Batok South', 'Bukit Batok West', 'Dairy Farm', 'Gombak', 'Guilin', 'Hillview', 'Hong Kah North', 'Jelebu', 'Nature Reserve', 'Tengah', "
Brickworks,"'Brickworks', ",,
Bukit Batok Central,"'Bukit Batok Central', ",,
Bukit Batok East,"'Bukit Batok East', ",,
Bukit Batok South,"'Bukit Batok South', ",,
Bukit Batok West,"'Bukit Batok West', ",,
Dairy Farm,"'Dairy Farm', ",,
Gombak,"'Gombak', ",,
Guilin,"'Guilin', ",,
