"long.f","lat.f","between.f","closeness.f","eigen.f","degree.f","BusStopCode","planning_area","Description","RoadName","subzone_name","district","combined.f"
103.8525359,1.296848255,0,0,0,0,"1012","Downtown Core","Hotel Grand Pacific","Victoria St","Victoria","Central Region",4
103.8532247,1.297709706,0,0,0,0,"1013","Others","St. Joseph's Ch","Victoria St","Victoria","Central Region",4
103.853022,1.296989512,0,0,0,0,"1019","Downtown Core","Bras Basah Cplx","Victoria St","Bugis","Central Region",4
103.8544142,1.296672985,0,0,0,0,"1029","Downtown Core","Opp Natl Lib","Nth Bridge Rd","Bugis","Central Region",4
103.8554914,1.298207841,0,0,0,0,"1039","Downtown Core","Bugis Cube","Nth Bridge Rd","Bugis","Central Region",4
103.8561104,1.300756795,0,0,0,0,"1059","Downtown Core","Bugis Stn Exit B","Victoria St","Bugis","Central Region",4
103.8565037,1.303585776,0,0,0,0,"1109","Others","Queen St Ter","Queen St","Rochor Canal","Central Region",4
103.8552003,1.300092128,0,0,0,0,"1112","Others","Opp Bugis Junction","Victoria St","Victoria","Central Region",4
103.856114,1.301172975,0,0,0,0,"1113","Downtown Core","Bugis Stn Exit A","Victoria St","Bugis","Central Region",4
103.8551293,1.299604109,0,0,0,0,"1119","Downtown Core","Bugis Junction","Victoria St","Bugis","Central Region",4
103.85868,1.303938097,0,0,0,0,"1121","Others","Stamford Pr Sch","Victoria St","Rochor Canal","Central Region",4
103.8586453,1.303502692,0,0,0,0,"1129","Others","Opp Stamford Pr Sch","Victoria St","Kampong Glam","Central Region",4
103.8571608,1.300330579,0,0,0,0,"1139","Downtown Core","Parkview Sq","Nth Bridge Rd","Bugis","Central Region",4
103.860545,1.305518035,0,0,0,0,"1211","Kallang","Opp Blk 461","Victoria St","Crawford","Central Region",4
103.8607202,1.305265985,0,0,0,0,"1219","Kallang","Blk 461","Victoria St","Crawford","Central Region",4
103.8596309,1.303375526,0,0,0,0,"1229","Others","Bef Sultan Mque","Nth Bridge Rd","Kampong Glam","Central Region",4
103.8610831,1.30325,0,0,0,0,"1231","Others","Opp Textile Ctr","Jln Sultan","Kampong Glam","Central Region",4
103.8616182,1.302912366,0,0,0,0,"1239","Kallang","Sultan Plaza","Jln Sultan","Crawford","Central Region",4
103.862197,1.307091646,0,0,0,0,"1311","Kallang","Lavender Stn Exit B","Kallang Rd","Lavender","Central Region",4
103.863256,1.307574267,0,0,0,0,"1319","Kallang","Lavender Stn Exit A/ICA","Kallang Rd","Lavender","Central Region",4
103.8636303,1.304956702,0,0,0,0,"1329","Kallang","Blk 8","Nth Bridge Rd","Crawford","Central Region",4
103.8642627,1.307746017,0,0,0,0,"1339","Kallang","Bef Crawford Bridge","Crawford St","Kampong Bugis","Central Region",4
103.8645253,1.306475556,0,0,0,0,"1341","Kallang","Southbank","Crawford St","Crawford","Central Region",4
103.8654399,1.305686357,0,0,0,0,"1349","Kallang","Opp Blk 4","Crawford St","Kampong Bugis","Central Region",4
103.862956,1.302113329,0,0,0,0,"1411","Kallang","Opp St. John HQ","Beach Rd","Crawford","Central Region",4
103.8632633,1.30202,0,0,0,0,"1419","Kallang","St. John HQ","Beach Rd","Crawford","Central Region",4
103.8648389,1.303384444,0,0,0,0,"1421","Kallang","Opp Golden Mile Cplx","Beach Rd","Crawford","Central Region",4
103.8650158,1.303213609,0,0,0,0,"1429","Kallang","Golden Mile Cplx","Beach Rd","Crawford","Central Region",4
103.8586452,1.299198261,0,0,0,0,"1511","Downtown Core","Opp The Gateway","Beach Rd","Bugis","Central Region",4
103.8589103,1.299074925,0,0,0,0,"1519","Downtown Core","The Gateway","Beach Rd","City Hall","Central Region",4
103.860661,1.300883044,0,0,0,0,"1521","Others","Opp Plaza Parkroyal","Beach Rd","Kampong Glam","Central Region",4
103.8604412,1.300416677,0,0,0,0,"1529","Others","Plaza Parkroyal","Beach Rd","Crawford","Central Region",4
103.8573458,1.298864654,0,0,0,0,"1541","Downtown Core","Bugis Stn Exit D","Rochor Rd","Bugis","Central Region",4
103.8587312,1.300698689,0,0,0,0,"1549","Others","Opp Duo Residences","Ophir Rd","Kampong Glam","Central Region",4
103.8575292,1.301687311,0,0,0,0,"1559","Others","Landmark Village Hotel","Ophir Rd","Kampong Glam","Central Region",4
103.8553369,1.295272592,0,0,0,0,"1611","Downtown Core","Aft Raffles Hotel","Beach Rd","City Hall","Central Region",4
103.8550381,1.294286942,0,0,0,0,"1619","Downtown Core","Esplanade Stn Exit F","Beach Rd","City Hall","Central Region",4
103.8565561,1.296958889,0,0,0,0,"1621","Downtown Core","Opp Shaw Twrs","Beach Rd","Bugis","Central Region",4
103.8568653,1.296959722,0,0,0,0,"1629","Downtown Core","Shaw Twrs","Beach Rd","City Hall","Central Region",4
103.8558056,1.296936146,0,0,0,0,"1631","Downtown Core","Aft Beach Rd","Middle Rd","Bugis","Central Region",4
103.8555758,1.2973875,0,0,0,0,"1639","Downtown Core","Bef Beach Rd","Middle Rd","Bugis","Central Region",4
103.8529332,1.288790151,0,0,0,0,"2029","Downtown Core","Opp S'pore Cricket Club","Connaught Dr","City Hall","Central Region",4
103.8540216,1.294520912,0,0,0,0,"2049","Downtown Core","Raffles Hotel","Bras Basah Rd","City Hall","Central Region",4
103.8590339,1.289503056,0,0,0,0,"2051","Downtown Core","The Float @ Marina Bay","Raffles Ave","Marina Centre","Central Region",4
103.8564039,1.289963889,0,0,0,0,"2061","Downtown Core","The Esplanade","Raffles Ave","Marina Centre","Central Region",4
103.8592061,1.291526944,0,0,0,0,"2089","Downtown Core","Pan Pacific Hotel","Raffles Blvd","Marina Centre","Central Region",4
103.8614856,1.291472648,0,0,0,0,"2099","Downtown Core","Marina Ctr Ter","Raffles Blvd","Marina Centre","Central Region",4
103.8618315,1.289384838,0,0,0,0,"2101","Downtown Core","AFT S'PORE FLYER","Raffles Ave","Marina Centre","Central Region",4
103.8545342,1.290955923,0,0,0,0,"2111","Downtown Core","Esplanade Bridge","Esplanade Dr","City Hall","Central Region",4
103.8553433,1.291844074,0,0,0,0,"2119","Downtown Core","Opp War Memorial Pk","Nicoll Highway","Marina Centre","Central Region",4
103.8593381,1.295765716,0,0,0,0,"2141","Downtown Core","Suntec Twr Two","Temasek Blvd","Marina Centre","Central Region",4
103.8595553,1.295604598,0,0,0,0,"2149","Downtown Core","Suntec Twr Three","Temasek Blvd","Marina Centre","Central Region",4
103.8578462,1.293177763,0,0,0,0,"2151","Downtown Core","Suntec Convention Ctr","Temasek Blvd","Marina Centre","Central Region",4
103.8584067,1.293608112,0,0,0,0,"2159","Downtown Core","Opp Suntec Convention Ctr","Temasek Blvd","Marina Centre","Central Region",4
103.8609316,1.292685535,0,0,0,0,"2161","Downtown Core","Promenade Stn","Temasek Ave","Marina Centre","Central Region",4
103.8607085,1.293338368,0,0,0,0,"2169","Downtown Core","Promenade Stn Exit B","Temasek Ave","Marina Centre","Central Region",4
103.8609219,1.2907,0,0,0,0,"2171","Downtown Core","Opp The Ritz-Carlton","Temasek Ave","Marina Centre","Central Region",4
103.8509817,1.289474444,0,0,0,0,"2181","Downtown Core","Supreme Ct","Parliament Pl","City Hall","Central Region",4
103.8534222,1.285618409,0,0,0,0,"3011","Downtown Core","Fullerton Sq","Fullerton Rd","Clifford Pier","Central Region",4
103.8531081,1.284245,0,0,0,0,"3019","Downtown Core","OUE Bayfront","Collyer Quay","Clifford Pier","Central Region",4
103.849989,1.282555246,0,0,0,0,"3021","Downtown Core","Prudential Twr","Cecil St","Raffles Place","Central Region",4
103.8508607,1.282074922,0,0,0,0,"3031","Downtown Core","Raffles Pl Stn Exit F","Robinson Rd","Raffles Place","Central Region",4
103.8489321,1.281795094,0,0,0,0,"3041","Others","Telok Ayer Stn Exit A","Cross St","Chinatown","Central Region",4
103.851461,1.281111,0,0,0,0,"3059","Downtown Core","One Raffles Quay","Raffles Quay","Central Subzone","Central Region",4
103.8494003,1.279906096,0,0,0,0,"3071","Downtown Core","OPP SO SOFITEL S'PORE","Robinson Rd","Cecil","Central Region",4
103.8481012,1.277825954,0,0,0,0,"3111","Downtown Core","Aft Capital Twr","Robinson Rd","Cecil","Central Region",4
103.8495672,1.278070035,0,0,0,0,"3129","Downtown Core","UIC Bldg","Shenton Way","Cecil","Central Region",4
103.8477623,1.278921246,0,0,0,0,"3151","Downtown Core","Opp GB Bldg","Cecil St","Cecil","Central Region",4
103.8479444,1.275522189,0,0,0,0,"3217","Downtown Core","Opp AXA Twr","Shenton Way","Central Subzone","Central Region",4
103.8468739,1.274078889,0,0,0,0,"3218","Downtown Core","Opp MAS Bldg","Shenton Way","Central Subzone","Central Region",4
103.8448956,1.273978369,0,0,0,0,"3222","Downtown Core","Hub Synergy Pt","Anson Rd","Anson","Central Region",4
103.8463247,1.275703395,0,0,0,0,"3223","Downtown Core","Tanjong Pagar Stn Exit C","Anson Rd","Tanjong Pagar","Central Region",4
103.8475672,1.27464227,0,0,0,0,"3239","Downtown Core","Shenton Way Ter","Shenton Way","Central Subzone","Central Region",4
103.84537,1.27456,0,0,0,0,"3241","Downtown Core","Mapletree Anson","Anson Rd","Tanjong Pagar","Central Region",4
103.8607681,1.276633072,0,0,0,0,"3331","Others","Bef Marina Gdns Dr","Marina Blvd","Marina South","Central Region",4
103.8595002,1.274985164,0,0,0,0,"3339","Others","Aft Marina Gdns Dr","Central Blvd","Straits View","Central Region",4
103.8643377,1.2795978,0,0,0,0,"3341","Others","Bef Gdns by the Bay","Marina Gdns Dr","Marina South","Central Region",4
103.8647781,1.279656006,0,0,0,0,"3349","Others","Aft Gdns by the Bay","Marina Gdns Dr","Marina South","Central Region",4
103.8698745,1.279607721,0,0,0,0,"3369","Others","Marina Barrage","Marina Gdns Dr","Marina South","Central Region",4
103.8662696,1.280664793,0,0,0,0,"3371","Others","Gdns by the Bay","Marina Gdns Dr","Marina South","Central Region",4
103.8530651,1.281626013,0,0,0,0,"3381","Downtown Core","The Sail","Marina Blvd","Central Subzone","Central Region",4
103.8549801,1.280376603,0,0,0,0,"3391","Downtown Core","Marina Bay Financial Ctr","Marina Blvd","Central Subzone","Central Region",4
103.863009,1.271592999,0,0,0,0,"3411","Others","Opp Marina Sth Pier","Marina Coastal Dr","Straits View","Central Region",4
103.8629769,1.271276985,0,0,0,0,"3419","Others","Marina Sth Pier","Marina Coastal Dr","Straits View","Central Region",4
103.8606111,1.285004677,0,0,0,0,"3501","Downtown Core","Marina Bay Sands Theatre","Bayfront Ave","Bayfront Subzone","Central Region",4
103.8600439,1.28315,0,0,0,0,"3509","Downtown Core","Bayfront Stn Exit B/MBS","Bayfront Ave","Bayfront Subzone","Central Region",4
103.8589706,1.281947795,0,0,0,0,"3511","Downtown Core","Aft Bayfront Stn Exit E","Bayfront Ave","Bayfront Subzone","Central Region",4
103.858848,1.281245,0,0,0,0,"3519","Downtown Core","Bayfront Stn Exit A","Bayfront Ave","Bayfront Subzone","Central Region",4
103.8527877,1.279399574,0,0,0,0,"3529","Downtown Core","Downtown Stn","Central Blvd","Central Subzone","Central Region",4
103.8556161,1.277533055,0,0,0,0,"3539","Downtown Core","Marina Bay Stn","Central Blvd","Central Subzone","Central Region",4
103.8497561,1.298072169,0,0,0,0,"4019","Others","OPP BENCOOLEN STN EXIT B","Bencoolen St","Bras Basah","Central Region",4
103.8509267,1.299481667,0,0,0,0,"4029","Others","BEF BENCOOLEN STN EXIT A","Bencoolen St","Victoria","Central Region",4
103.851391,1.293954442,0,0,0,0,"4111","Downtown Core","Capitol Bldg","Stamford Rd","City Hall","Central Region",4
103.8495803,1.296185441,0,0,0,0,"4121","Others","SMU","Stamford Rd","Bras Basah","Central Region",4
103.8496599,1.293098264,0,0,0,0,"4142","Downtown Core","Armenian Ch","Hill St","Bras Basah","Central Region",4
103.8502061,1.294116408,0,0,0,0,"4143","Others","Stamford Ct","Hill St","Bras Basah","Central Region",4
103.8498374,1.292761324,0,0,0,0,"4149","Downtown Core","Grand Pk City Hall","Hill St","City Hall","Central Region",4
103.8511397,1.295337778,0,0,0,0,"4151","Others","Cath Of The Good Shepherd","Victoria St","Bras Basah","Central Region",4
103.8510814,1.29489485,0,0,0,0,"4159","Downtown Core","Aft Chijmes","Victoria St","City Hall","Central Region",4
103.8514532,1.292500065,0,0,0,0,"4167","Downtown Core","City Hall Stn Exit B","Nth Bridge Rd","City Hall","Central Region",4
103.8512599,1.292082215,0,0,0,0,"4168","Downtown Core","Aft City Hall Stn Exit B","Nth Bridge Rd","City Hall","Central Region",4
103.8514716,1.296479163,0,0,0,0,"4179","Others","AFT BRAS BASAH STN EXIT A","Bras Basah Rd","Bras Basah","Central Region",4
103.8471244,1.290436111,0,0,0,0,"4211","Others","Clarke Quay","River Valley Rd","Clarke Quay","Central Region",4
103.8468678,1.290968028,0,0,0,0,"4219","Others","Opp Clarke Quay","River Valley Rd","Fort Canning","Central Region",4
103.8470898,1.288989622,0,0,0,0,"4222","Others","Clarke Quay Stn Exit E","Eu Tong Sen St","Clarke Quay","Central Region",4
103.848579,1.290844761,0,0,0,0,"4223","Downtown Core","Old Hill St Police Stn","Hill St","Fort Canning","Central Region",4
103.8487512,1.290448308,0,0,0,0,"4229","Downtown Core","High St Ctr","Hill St","City Hall","Central Region",4
