,BusStopCode,Direction,Distance,Operator,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,ServiceNo,StopSequence,WD_FirstBus,WD_LastBus
0,75009,1,0.0,SBST,0500,2300,0500,2300,10,1,0500,2300
1,76059,1,0.6,SBST,0502,2302,0502,2302,10,2,0502,2302
2,76069,1,1.1,SBST,0504,2304,0503,2304,10,3,0504,2304
3,96289,1,2.3,SBST,0508,2309,0507,2308,10,4,0508,2308
4,96109,1,2.7,SBST,0509,2311,0508,2309,10,5,0509,2310
5,85079,1,3.3,SBST,0511,2313,0510,2311,10,6,0511,2312
6,85089,1,3.5,SBST,0512,2314,0511,2312,10,7,0512,2313
7,85069,1,3.8,SBST,0513,2315,0512,2313,10,8,0513,2314
8,85059,1,4.1,SBST,0514,2316,0513,2314,10,9,0514,2315
9,85049,1,4.5,SBST,0515,2317,0514,2315,10,10,0515,2316
10,85039,1,4.8,SBST,0517,2319,0516,2317,10,11,0517,2317
11,85029,1,5.0,SBST,0517,2319,0516,2317,10,12,0517,2318
12,85019,1,5.2,SBST,0518,2320,0517,2318,10,13,0518,2318
13,94079,1,5.5,SBST,0519,2321,0518,2319,10,14,0519,2319
14,94069,1,6.1,SBST,0520,2322,0519,2321,10,15,0520,2320
15,94059,1,6.4,SBST,0521,2323,0520,2322,10,16,0521,2321
16,94049,1,6.8,SBST,0522,2324,0521,2323,10,17,0522,2322
17,94089,1,7.0,SBST,0522,2324,0521,2323,10,18,0522,2322
18,94039,1,7.3,SBST,0523,2325,0522,2324,10,19,0523,2323
19,94029,1,7.7,SBST,0524,2326,0523,2325,10,20,0524,2324
20,94019,1,7.9,SBST,0525,2326,0524,2326,10,21,0525,2325
21,93099,1,8.3,SBST,0526,2327,0525,2327,10,22,0527,2326
22,93089,1,8.8,SBST,0527,2328,0526,2329,10,23,0528,2327
23,93079,1,9.1,SBST,0528,2329,0527,2330,10,24,0529,2328
24,93069,1,9.4,SBST,0529,2330,0528,2331,10,25,0530,2329
25,93059,1,9.8,SBST,0530,2331,0529,2332,10,26,0531,2330
26,92159,1,10.1,SBST,0531,2332,0530,2333,10,27,0532,2331
27,92149,1,10.4,SBST,0532,2333,0531,2334,10,28,0533,2332
28,92139,1,10.7,SBST,0532,2334,0531,2335,10,29,0534,2332
29,92129,1,11.2,SBST,0534,2336,0533,2337,10,30,0536,2334
30,92119,1,11.7,SBST,0535,2337,0534,2338,10,31,0537,2335
31,92109,1,11.9,SBST,0536,2338,0535,2339,10,32,0537,2336
32,92099,1,12.2,SBST,0536,2339,0535,2339,10,33,0538,2336
33,92161,1,12.7,SBST,0538,2341,0537,2341,10,34,0539,2338
34,82071,1,13.1,SBST,0539,2342,0538,2342,10,35,0540,2339
35,81199,1,13.9,SBST,0541,2344,0540,2344,10,36,0541,2341
36,81189,1,14.2,SBST,0541,2345,0540,2344,10,37,0542,2341
37,81179,1,14.7,SBST,0542,2346,0541,2345,10,38,0543,2342
38,80141,1,15.3,SBST,0544,2347,0543,2347,10,39,0544,2343
39,80219,1,16.0,SBST,0546,2349,0545,2349,10,40,0545,2345
40,80169,1,17.4,SBST,0549,2353,0548,2352,10,41,0548,2348
41,80159,1,18.1,SBST,0551,2355,0550,2353,10,42,0550,2350
42,02119,1,18.6,SBST,0552,2356,0551,2354,10,43,0551,2351
43,03019,1,19.6,SBST,0554,2359,0553,2356,10,44,0554,2354
44,03059,1,19.9,SBST,0555,2400,0554,2357,10,45,0555,2355
45,03129,1,20.3,SBST,0556,0001,0555,2358,10,46,0556,2356
46,03217,1,20.6,SBST,0557,0002,0556,2359,10,47,0557,2357
47,05649,1,21.5,SBST,0600,0004,0559,0001,10,48,0600,2400
48,14061,1,21.8,SBST,0600,0005,0559,0002,10,49,0601,0001
49,14071,1,22.3,SBST,0601,0006,0600,0003,10,50,0602,0002
50,14081,1,22.7,SBST,0602,0007,0601,0004,10,51,0603,0003
51,14101,1,23.1,SBST,0603,0008,0602,0004,10,52,0603,0003
52,14141,1,23.9,SBST,0604,0010,0603,0006,10,53,0605,0005
53,14121,1,24.2,SBST,0605,0011,0604,0007,10,54,0606,0006
54,14131,1,24.6,SBST,0606,0012,0605,0008,10,55,0607,0007
55,14151,1,25.1,SBST,0607,0014,0606,0009,10,56,0609,0009
56,14161,1,25.5,SBST,0608,0015,0607,0010,10,57,0610,0010
57,14171,1,25.9,SBST,0609,0016,0608,0011,10,58,0611,0011
58,15141,1,26.6,SBST,0610,0017,0609,0012,10,59,0613,0013
59,15151,1,26.9,SBST,0611,0018,0610,0013,10,60,0614,0013
60,15161,1,27.1,SBST,0611,0018,0610,0013,10,61,0615,0014
61,15191,1,27.6,SBST,0612,0019,0611,0014,10,62,0616,0015
62,15201,1,27.9,SBST,0613,0020,0612,0015,10,63,0617,0016
63,15221,1,28.5,SBST,0614,0021,0613,0016,10,64,0618,0017
64,16201,1,28.8,SBST,0614,0021,0613,0017,10,65,0619,0017
65,16011,1,29.1,SBST,0615,0022,0614,0018,10,66,0620,0018
66,16021,1,29.6,SBST,0616,0023,0615,0019,10,67,0621,0019
67,16031,1,29.9,SBST,0617,0024,0616,0020,10,68,0622,0020
68,16041,1,30.1,SBST,0617,0025,0616,0020,10,69,0623,0020
69,16051,1,30.4,SBST,0618,0025,0617,0021,10,70,0623,0021
70,16061,1,30.6,SBST,0618,0026,0617,0021,10,71,0624,0021
71,16071,1,30.8,SBST,0619,0027,0618,0022,10,72,0625,0022
72,16081,1,31.1,SBST,0620,0028,0619,0023,10,73,0626,0023
73,16009,1,31.6,SBST,0622,0029,0621,0024,10,74,0627,0024
74,16009,2,0.0,SBST,0600,2400,0615,2400,10,1,0600,2400
75,16089,2,0.4,SBST,0602,0001,0617,0001,10,2,0602,0002
76,16079,2,0.7,SBST,0603,0002,0618,0002,10,3,0603,0003
77,16069,2,1.0,SBST,0605,0003,0620,0003,10,4,0605,0004
78,16059,2,1.3,SBST,0606,0004,0621,0004,10,5,0606,0005
79,16049,2,1.5,SBST,0606,0004,0621,0004,10,6,0606,0005
80,16039,2,1.7,SBST,0606,0005,0621,0004,10,7,0607,0005
81,16029,2,2.0,SBST,0607,0006,0622,0005,10,8,0608,0006
82,16019,2,2.5,SBST,0608,0007,0623,0006,10,9,0609,0007
83,16209,2,2.7,SBST,0609,0008,0624,0007,10,10,0610,0008
84,15229,2,3.0,SBST,0610,0009,0624,0007,10,11,0611,0008
85,15219,2,3.2,SBST,0610,0009,0625,0008,10,12,0611,0009
86,15209,2,3.6,SBST,0612,0011,0626,0009,10,13,0613,0010
87,15199,2,3.9,SBST,0613,0012,0627,0010,10,14,0614,0011
88,15169,2,4.4,SBST,0614,0013,0628,0011,10,15,0615,0012
89,15159,2,4.6,SBST,0615,0014,0629,0012,10,16,0616,0013
90,15149,2,4.9,SBST,0615,0014,0629,0012,10,17,0616,0013
91,14189,2,5.3,SBST,0616,0015,0630,0013,10,18,0617,0014
92,14179,2,5.6,SBST,0617,0016,0631,0014,10,19,0618,0015
93,14169,2,6.0,SBST,0618,0017,0632,0015,10,20,0619,0016
94,14159,2,6.5,SBST,0619,0018,0633,0016,10,21,0620,0017
95,14139,2,6.9,SBST,0620,0019,0634,0017,10,22,0621,0018
96,14129,2,7.4,SBST,0621,0020,0635,0018,10,23,0622,0019
97,14119,2,7.7,SBST,0622,0021,0636,0019,10,24,0623,0020
98,14109,2,8.4,SBST,0623,0022,0637,0020,10,25,0624,0021
99,14089,2,8.8,SBST,0624,0023,0638,0021,10,26,0625,0022
100,14069,2,9.6,SBST,0627,0026,0640,0024,10,27,0628,0024
101,05641,2,10.2,SBST,0628,0027,0641,0025,10,28,0629,0025
102,03222,2,10.6,SBST,0629,0028,0642,0026,10,29,0630,0027
103,03111,2,11.3,SBST,0631,0030,0644,0028,10,30,0632,0029
104,03071,2,11.6,SBST,0632,0031,0645,0029,10,31,0633,0031
105,03031,2,11.9,SBST,0633,0032,0646,0030,10,32,0634,0032
106,03011,2,12.5,SBST,0634,0033,0648,0031,10,33,0635,0034
107,02111,2,13.1,SBST,0636,0035,0649,0032,10,34,0637,0035
108,80151,2,13.8,SBST,0638,0037,0650,0034,10,35,0639,0037
109,80161,2,14.5,SBST,0639,0038,0652,0035,10,36,0640,0038
110,80211,2,16.1,SBST,0643,0042,0655,0039,10,37,0644,0042
111,80149,2,16.7,SBST,0644,0043,0656,0040,10,38,0615,0043
112,81171,2,17.3,SBST,0646,0045,0658,0042,10,39,0617,0044
113,81181,2,17.8,SBST,0647,0046,0659,0043,10,40,0619,0045
114,81191,2,18.2,SBST,0648,0047,0700,0044,10,41,0620,0046
115,82079,2,18.7,SBST,0649,0048,0702,0045,10,42,0622,0048
116,92169,2,19.2,SBST,0651,0049,0704,0046,10,43,0624,0050
117,92091,2,19.7,SBST,0652,0050,0705,0047,10,44,0625,0051
118,92101,2,20.0,SBST,0653,0051,0706,0048,10,45,0627,0052
119,92111,2,20.2,SBST,0654,0051,0707,0048,10,46,0628,0052
120,92121,2,20.7,SBST,0655,0053,0708,0050,10,47,0629,0054
121,92131,2,21.2,SBST,0657,0054,0709,0051,10,48,0631,0055
122,92141,2,21.6,SBST,0658,0055,0710,0052,10,49,0632,0056
123,92151,2,21.8,SBST,0659,0055,0711,0052,10,50,0633,0056
124,93051,2,22.1,SBST,0700,0056,0712,0053,10,51,0634,0057
125,93061,2,22.5,SBST,0701,0057,0713,0054,10,52,0636,0058
126,93071,2,22.9,SBST,0702,0058,0714,0055,10,53,0637,0059
