"BusStopCode","planning_area","Longitude","Latitude","subzone_name","district"
1012,"DOWNTOWN CORE",103.8525359,1.296848255,"Victoria","CENTRAL REGION"
1013,"ROCHOR",103.8532247,1.297709706,"Victoria","CENTRAL REGION"
1019,"DOWNTOWN CORE",103.853022,1.296989512,"Bugis","CENTRAL REGION"
1029,"DOWNTOWN CORE",103.8544142,1.296672985,"Bugis","CENTRAL REGION"
1039,"DOWNTOWN CORE",103.8554914,1.298207841,"Bugis","CENTRAL REGION"
1059,"DOWNTOWN CORE",103.8561104,1.300756795,"Bugis","CENTRAL REGION"
1109,"ROCHOR",103.8565037,1.303585776,"Rochor Canal","CENTRAL REGION"
1112,"ROCHOR",103.8552003,1.300092128,"Victoria","CENTRAL REGION"
1113,"DOWNTOWN CORE",103.856114,1.301172975,"Bugis","CENTRAL REGION"
1119,"DOWNTOWN CORE",103.8551293,1.299604109,"Bugis","CENTRAL REGION"
1121,"ROCHOR",103.85868,1.303938097,"Rochor Canal","CENTRAL REGION"
1129,"ROCHOR",103.8586453,1.303502692,"Kampong Glam","CENTRAL REGION"
1139,"DOWNTOWN CORE",103.8571608,1.300330579,"Bugis","CENTRAL REGION"
1211,"KALLANG",103.860545,1.305518035,"Crawford","CENTRAL REGION"
1219,"KALLANG",103.8607202,1.305265985,"Crawford","CENTRAL REGION"
1229,"ROCHOR",103.8596309,1.303375526,"Kampong Glam","CENTRAL REGION"
1231,"ROCHOR",103.8610831,1.30325,"Kampong Glam","CENTRAL REGION"
1239,"KALLANG",103.8616182,1.302912366,"Crawford","CENTRAL REGION"
1311,"KALLANG",103.862197,1.307091646,"Lavender","CENTRAL REGION"
1319,"KALLANG",103.863256,1.307574267,"Lavender","CENTRAL REGION"
1329,"KALLANG",103.8636303,1.304956702,"Crawford","CENTRAL REGION"
1339,"KALLANG",103.8642627,1.307746017,"Kampong Bugis","CENTRAL REGION"
1341,"KALLANG",103.8645253,1.306475556,"Crawford","CENTRAL REGION"
1349,"KALLANG",103.8654399,1.305686357,"Kampong Bugis","CENTRAL REGION"
1411,"KALLANG",103.862956,1.302113329,"Crawford","CENTRAL REGION"
1419,"KALLANG",103.8632633,1.30202,"Crawford","CENTRAL REGION"
1421,"KALLANG",103.8648389,1.303384444,"Crawford","CENTRAL REGION"
1429,"KALLANG",103.8650158,1.303213609,"Crawford","CENTRAL REGION"
1511,"DOWNTOWN CORE",103.8586452,1.299198261,"Bugis","CENTRAL REGION"
1519,"DOWNTOWN CORE",103.8589103,1.299074925,"City Hall","CENTRAL REGION"
1521,"ROCHOR",103.860661,1.300883044,"Kampong Glam","CENTRAL REGION"
1529,"ROCHOR",103.8604412,1.300416677,"Crawford","CENTRAL REGION"
1541,"DOWNTOWN CORE",103.8573458,1.298864654,"Bugis","CENTRAL REGION"
1549,"ROCHOR",103.8587312,1.300698689,"Kampong Glam","CENTRAL REGION"
1559,"ROCHOR",103.8575292,1.301687311,"Kampong Glam","CENTRAL REGION"
1611,"DOWNTOWN CORE",103.8553369,1.295272592,"City Hall","CENTRAL REGION"
1619,"DOWNTOWN CORE",103.8550381,1.294286942,"City Hall","CENTRAL REGION"
1621,"DOWNTOWN CORE",103.8565561,1.296958889,"Bugis","CENTRAL REGION"
1629,"DOWNTOWN CORE",103.8568653,1.296959722,"City Hall","CENTRAL REGION"
1631,"DOWNTOWN CORE",103.8558056,1.296936146,"Bugis","CENTRAL REGION"
1639,"DOWNTOWN CORE",103.8555758,1.2973875,"Bugis","CENTRAL REGION"
2029,"DOWNTOWN CORE",103.8529332,1.288790151,"City Hall","CENTRAL REGION"
2049,"DOWNTOWN CORE",103.8540216,1.294520912,"City Hall","CENTRAL REGION"
2051,"DOWNTOWN CORE",103.8590339,1.289503056,"Marina Centre","CENTRAL REGION"
2061,"DOWNTOWN CORE",103.8564039,1.289963889,"Marina Centre","CENTRAL REGION"
2089,"DOWNTOWN CORE",103.8592061,1.291526944,"Marina Centre","CENTRAL REGION"
2099,"DOWNTOWN CORE",103.8614856,1.291472648,"Marina Centre","CENTRAL REGION"
2101,"DOWNTOWN CORE",103.8618315,1.289384838,"Marina Centre","CENTRAL REGION"
2111,"DOWNTOWN CORE",103.8545342,1.290955923,"City Hall","CENTRAL REGION"
2119,"DOWNTOWN CORE",103.8553433,1.291844074,"Marina Centre","CENTRAL REGION"
