,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area,X,Y
0,0,1012,Hotel Grand Pacific,1.296848255,103.8525359,Victoria St,DOWNTOWN CORE,30138.718108587145,31024.41791145493
1,1,1013,St. Joseph's Ch,1.297709706,103.8532247,Victoria St,ROCHOR,30215.37472073638,31119.673319867754
2,2,1019,Bras Basah Cplx,1.2969895120000001,103.853022,Victoria St,DOWNTOWN CORE,30192.81662688562,31040.03779875188
3,3,1029,Opp Natl Lib,1.296672985,103.8544142,Nth Bridge Rd,DOWNTOWN CORE,30347.75648336421,31005.039120282923
4,4,1039,Bugis Cube,1.298207841,103.8554914,Nth Bridge Rd,DOWNTOWN CORE,30467.637859963823,31174.756621121072
5,5,1059,Bugis Stn Exit B,1.300756795,103.8561104,Victoria St,DOWNTOWN CORE,30536.52452036112,31456.607453792072
6,6,1109,Queen St Ter,1.303585776,103.8565037,Queen St,ROCHOR,30580.292398154244,31769.422025511714
7,7,1112,Opp Bugis Junction,1.300092128,103.8552003,Victoria St,ROCHOR,30435.23921303245,31383.11110033966
8,8,1113,Bugis Stn Exit A,1.301172975,103.856114,Victoria St,DOWNTOWN CORE,30536.92475256163,31502.626501382052
9,9,1119,Bugis Junction,1.2996041090000001,103.8551293,Victoria St,DOWNTOWN CORE,30427.338015286485,31329.148401746323
10,10,1121,Stamford Pr Sch,1.303938097,103.85868,Victoria St,ROCHOR,30822.494354161267,31808.382204217494
11,11,1129,Opp Stamford Pr Sch,1.3035026920000001,103.85864529999999,Victoria St,ROCHOR,30818.633044957733,31760.23731781411
12,12,1139,Parkview Sq,1.3003305790000002,103.8571608,Nth Bridge Rd,DOWNTOWN CORE,30653.425037952777,31409.4797596201
13,13,1211,Opp Blk 461,1.305518035,103.860545,Victoria St,KALLANG,31030.049935639574,31983.085800084387
14,14,1219,Blk 461,1.305265985,103.8607202,Victoria St,KALLANG,31049.548387380397,31955.21561707777
15,15,1229,Bef Sultan Mque,1.303375526,103.8596309,Nth Bridge Rd,ROCHOR,30928.321490698992,31746.177078704834
16,16,1231,Opp Textile Ctr,1.30325,103.86108309999999,Jln Sultan,ROCHOR,31089.938280445986,31732.298792288086
17,17,1239,Sultan Plaza,1.302912366,103.86161820000001,Jln Sultan,KALLANG,31149.49046061258,31694.96562111052
18,18,1311,Lavender Stn Exit B,1.307091646,103.862197,Kallang Rd,KALLANG,31213.900340927616,32157.08967691689
19,19,1319,Lavender Stn Exit A/ICA,1.3075742670000001,103.863256,Kallang Rd,KALLANG,31331.756591640584,32210.456809941537
20,20,1329,Blk 8,1.3049567020000001,103.8636303,Nth Bridge Rd,KALLANG,31373.41619444089,31921.020404075844
21,21,1339,Bef Crawford Bridge,1.307746017,103.8642627,Crawford St,KALLANG,31443.792718574805,32229.44940156277
